,text,stars,time
11,"This is a nice hostel with a friendly atmosphere. We had issues with our booking through hostel world and the owner, Cliff was very helpful and happy to help us.

They offer free pancakes and there is good sociable areas to sit with friends.",4,2 years ago on Google
12,"If you don't want to itch during your entire holiday, don't choose this hotel. There are bed bugs in all the rooms.  The owner of the hotel says I sprayed. The next day, someone else is itching all day.  kitchen is in bad shape.  beds are not good.",1,a year ago on Google
13,The guy at check-in and check out was super nice and helpful but the older guy was quite strict and frankly rude. Not really the good vibes advertised. The whole place needs a good renovation. The pan handles were spinning and the lockers in my room were broken... You can find for 3$ extra what seems like luxury next to that. Overrated.,2,a year ago on Google
14,"Arrived during a very busy time, most lf the other hostels we were looking at were booked up, and we were recommended to check here.||Expecting a last minute booking to be bad, I was pleasantly surprised! The shared kitchen is spacious and …",5,4 years ago on Tripadvisor
15,"The service was ok. But room 3 had mold and the odor was imposible. I could barely sleep because of it. But a good stay for one night.

Update:the room does have mold in the sealing close to the air con. I live in a place with a lot of rain and humidity and never has it smell that way. Right now I have a synus infection that I am 99% was becaue I stayed there with the mold circiling around in the air.

I can say about the rest of the rooms, but people seem to enjoy the place",3,a year ago on Google
16,"I discovered this hostel thx to some guys, they told me that in bocas this was a great place, super clean, not expensive and the breakfast was include. I went there and i have to admit that they were right. It's impressive how they clean …",5,4 years ago on Tripadvisor
17,"Bedbugs.
I checked out early due to bedbugs, no refund for the nights I did not stay was given.
They wanted me to sleep in a hostel that was actively being fumigated.
Place is dangerous and should not be allowed to operate this way.

(Updated to include photos of bites)
Jeez indeed",1,a year ago on Google
18,"This hostel was the spa treatment of hostels, especially considering the ones in this area. Cliff has poured his heart into this place. HOT WATER! Air conditioning, pool table, rooftop lounge, high thread count sheets, and an immaculate …",5,4 years ago on Tripadvisor
19,"We've stayed at Cliff's for two nights. Cliff, the owner, greeted us personally, as he likes to do, and showed us around. The place has a water purifier (important in Bocas due to the water being poisonous if it's not purified), a pool …",3,4 years ago on Google
20,"My friends and I went to a room just in front of the kitchen. The breakfast is a pancake mix and you have to do it by yourself, like the others guests, so if you are not one of the firsts, you have to wait a lot. …",3,4 years ago on Google
21,"Simply put, it is an amazing hostel with a ridiculous cheap price... A REAL BARGAIN.
Personally I preferred it much more than the Selina, which was noisy and not as …",5,4 years ago on Google
22,"Can’t recommend Cliff’s enough if you’re staying in Bocas. It has that X factor that many hostels are missing. It has a great vibe to it and is a perfect place to meet other travelers, but there are also plenty of areas you can go to if you …",5,4 years ago on Google
23,"Perfect Hostel.
You feel like Home.
Good beds, clean Kitchen and Bathroom, Not fare drin Taxi and bus Station. …",5,4 years ago on Google
24,"Loved this place. Stayed 3 nights. Super comfy beds, rooms have airconditioning, good pressure hot showers, the cutest white schnauzer, free pancakes for breakfast and several cozy common areas to make new friends. Would def stay again.",5,4 years ago on Tripadvisor
25,I stayed 1 night here and I think it is fine. Mr. Cliff speak English and Spanish as well. very nice guy always available for any question or advice. I found it very relaxin place to stay. You can also play billiard in there for free with your friends.,4,4 years ago on Google
26,"This place has the perfect combination of a social atmosphere and quiet at the same time. We caught up on sleep here, while getting to know many people. Cliff and his staff were extremely friendly and even taught me a few things. Would definitely recommend.",5,4 years ago on Google
27,"Cliff and his hostel Are just amazing when we had nowhere to go Cliff give us a place to sleep and make sure we had everything we need. the hostel is clean, relax and fully equipped + a delicious breakfast and coffee.
highly recommend!!!",5,5 years ago on Google
28,I stayed at Cliff's Hostel for 5 nights 7 days.||Cliff and his GF Diana are great hosts.||They are expecting a baby boy and can't wait to meet him.||The hostel is very warm and inviting.||The rooms are very clean and it has HOT showers …,5,4 years ago on Tripadvisor
29,"Amazing, chill hostel vibes. Cliff works hard to hook you up with great tours and is always there to answer any questions you may have. I can not recommend this place enough. We met a ton of great people here.",5,4 years ago on Google
30,"I had a great time at Cliff's! Good vibes, clean area, and awesome rooftop deck. Cliff was super friendly and helpful during my stay. Highly recommend!!",5,5 years ago on Google
31,"Good vibe, good Price ! I was looking for an Hostel and after walking with m'y backpack and my surf i was decided to past my three nights un this Hostel, i was tired and this Hostel was perfect for me, breakfeast in the Price, hot water, good beds and Cliff's was very cool thanks for the good days ! Nolan",5,5 years ago on Google
32,I stayed 1 night here and I think it is fine. Mr. Cliff speak English and Spanish as well. very nice guy always available for any question or advice. I found it very relaxin place to stay. You can also play billiard in there for free with your friends.,4,4 years ago on Tripadvisor
33,Had a spectacular stay at cliffs hostel.||Cliff made sure everything about our stay was taken care of.||The hostel was very fairly priced and even included pancakes and coffee breakfast daily.||Highly recommended,5,4 years ago on Tripadvisor
34,"Best Hostel I‘ve ever stayed!
Staff is super friendly, treats you like family.",5,a year ago on Google
35,"Good place to relax with no hard partys like at selinas! The staff working here are great, thanks Chris!",5,a year ago on Google
36,Very cool atmosphere. Very friendly owner and employees. Contributed greatly to a very nice first visit to Bocas del Toro.,5,4 years ago on Google
37,Pretty cheap for the area. The bathrooms were not so clean and i didnt really like the atmosphere there but it was ok for one night,4,5 years ago on Google
38,It's a great place it has homey vibes and really friendly guests!,5,4 years ago on Google
39,"Basic rooms, but good atmosphere and spaces outside",5,4 years ago on Google
40,"Good budget place, very friendly staff.",5,a year ago on Google
41,Affordable hostal with friendly staff,3,a year ago on Google
42,Cliff is very nice and the hostel is clean!,5,4 years ago on Google
43,Feels like home !,4,a year ago on Google
45,"Everything was great. The rooms are clean, the bathrooms are big, the kitchen has everything you need, the staff is really great. And in the morning there are delicious pancakes. I would definitely recommend it. Price-performance is top.",5,6 months ago on Google
46,"I don't know what my previous commenters got for the glowing reviews. You get what is necessary, but nothing more. Easy to reach on foot from the airport, mini markets and a restaurant just around the corner and not far to the harbor. But …",3,2 years ago on Tripadvisor
47,"Had a nice stay. The staff is friendly and laid back. The rooms are quite small, but clean and there is air conditioning. There is also a small refrigerator in the room. The hostel has a nice roof terrace with a hammock and beautiful views. The kitchen has sufficient materials for cooking, etc. It just seems a bit grubby.",4,a year ago on Google
