,text,stars,time
47,"The staff were super friendly, any issues with rooms (eg light blubs breaking) were fixed in a timely manner. This is a party hostel so there is late nights with music in the bar downstairs and you can hear musics from bars on the street …",5,9 months ago on Tripadvisor
48,"Amazing time in Selina’s
Clean and friendly staff
Free salsa nights
Have met a lot of solo travelers",5,3 months ago on Google
49,Everything was excellent! The place is really nice and the people very friendly.,5,3 months ago on Google
50,"Stayed in a private double and loved it. I was here to work remotely and enjoy the island in my off time, so didn’t party but it seemed like everyone was having a great time! It wasn’t so noisy that I couldn’t sleep either. The coworking …",5,9 months ago on Google
51,"Best hotel in town!
Excellent service, stunning staff and good food🩷 …",5,2 months ago on Google
52,"Great place to enjoy Bocas del Toro and meet new people along the way.
I would stay again",5,2 months ago on Google
53,Amazing location and nightlife. If you’re looking for a quiet place to stay Selina is probably not the place for you. With that being said the atmosphere is amazing and everyone is so nice. The rooms could be cleaner but that’s kinda what you prepare for at a hostel! 8/10 would definitely come back 😎 …,4,a year ago on Google
54,"Nice place, it’s got a dock from where you can get picked up to the other islands.",4,4 months ago on Google
55,"This place was amazing! We went for a four day vacation and the vibes were incredible. The rooms are a little outdated, but as a whole this place is great. JuanCarlo helped us the whole weekend and was such an amazing host. He remembered my name the whole time always made sure we were having a good stay. We will definitely be back soon!",5,a year ago on Google
56,"Great lively hotel. Good value for money, excellent location.",5,3 months ago on Google
57,"Great island and vibe. I was lookin for yoga studios but there were not that much. There’s a loooot of restaurants to pick, buut the food wasn’t thaaat awesome. ||Expect to have cloudy days, as the locals say you can not really guess when its going to rain or be a perfect sunny day 🤷🏼‍♀️ not even weather apps. …",5,a year ago on Tripadvisor
