text,stars,months_ago
"Not a very Nice owner. We Waited 20 minutes in the Crete heatwave, july2021. He wasn’t even bothered. He didn’t help with our luggage. There wasn’t even a bottle of water available (which is common for Crete!). The room was hot on our arrival. Just a bit of a plonker to be honest and not very helpful.",1,24
"My husband and I stayed at Villa Niki during our honeymoon in Crete. The room was great, reasonably priced, very roomy and the view was great! The kitchenette was so handy and there is a little grocery store just round the corner, so we …",5,48
"Unprofessional, super opportunistic service, resulting in horrible customer experience. Completely against the values of Greek hospitality and a real shame for the Greek tourism industry, especially in Crete. As a Greek national, I deeply regret bringing my freind to  this place",1,24
"A wonderful stay in villa Niki in October. Spacious room, everything I needed, good view and well serviced. It was worth climbing the stairs for! Andreus and his wife very warm and welcoming. Plan to go back for longer in October 2019 and …",5,60
"Had the most wonderful stay here, andreas and his wife were so welcoming always makeing sure we were happy and offering small treats and fresh bread him and his wife were baking. Look forward to going back. Thanks for your magical hospitality.",5,60
"Just superb! Clean, well kept, close to the beach, and with great views.  Comfortable surroundings with air con and wi-fi. Will be returning for sure.",5,12
"Great spot. Location is perfect, villa was clean and slept 6 adults and 1 child comfortably. Beautiful view from top balcony. Enjoyed a quick stay",5,72
"Excellent! There are two main reasons - I believe there cannot be many more, actually. Firstly, the owners have been very helpful and trouble-less, they have given us a very nice room and coped with all our weird check-in times (due to …",5,48
Very nice hotel with amazing owners. Super close to the beach and very quiet. Defevre going back there!,5,12
"Super nice rooms, very clean, great hosts. We liked it so much!",5,48
"Clean , tidy, quiet, great views across the bay from top rooms- my 2nd stay - definately recomend ....",5,60
Big clean room with sensational sea views from the balcony.,5,36
"Very friendly, super rooms, big with pine beam ceilings and stone flagged floors.",5,60
"Nice flats with 2 bedrooms, a small kitchen and a balcony on the sea.",5,96
all was super. The best stay in Loutro.,5,72
Great views,4,12
So far so good! To be continued..,5,72
"Improvised night after a day on the surrounding beaches, L'outrons found a certain tranquility in the evening and makes you want to prolong the experience. We had an upstairs room with incredible sea view, top bedding, high ceilings. Small …",5,8
"The best hospitality!! Mr. Andreas and Mrs. Dora are very pleasant and warm people, they are very polite and make you feel at home! The place is very neat and clean!! I would come again and again!!!",5,11
"Pretty nice place not right on the sea.
They accept animals but then they make a fuss about them.",3,7
"Very nice establishment. We rented an apartment for 4. Sea view, super clean room, air conditioning. Slightly far from the landing stage and therefore from the hustle and bustle. Receptionist very attentive to his customers and lots of good advice for going to lunch or something else. |",5,12
An amazing hotel in an excellent location with a panoramic view in the center of the village quiet comfortable and clean with Mr. Andrea and Mrs. Dora kind and impeccable professionals contributing to an amazing stay thank you we will see you again!!,5,12
"If you want to spend a short or long time in Loutro, this accommodation, run by a married couple, is a good home. The view of the bay and the town is magical. The rooms are clean and spacious and usually have a balcony with a parasol. Quiet air conditioning units are available. The bed mattress is comfortable. We had a spacious studio with a larger balcony and a small kitchenette.
Since it was our second time here, I can really recommend it and give it 5 stars for this category ⭐️ ⭐️⭐️⭐️⭐️",5,12
"We stayed in this place in June and I must say that I will return here next year, the rooms are very nice, clean and have a great atmosphere.
The owner is a very kind and helpful person with whom we had a great time.
Furthermore, the structure has many small and very useful features, umbrellas for the beach, rock shoes, masks, mats to put under the towels on the beach are available to guests, but in any case if you need anything just ask the fantastic Andreas.",5,48
"The staff is very kind, helpful, attentive and friendly, I felt at home! The sea view is breathtaking. The sea is a few steps from the Hotel. The apartment is nice, well furnished, functional and spacious. The bed was very comfortable. Each …",5,120
"A little disappointment. Villa Niki is not exactly as expected from the booking photos. Yes, the bed is very large, the small balcony, also with solar panels in front, allows you to glimpse the beautiful panorama... but the room was still occupied at 12 and it was delivered to us in a hurry after about 1 hour... but then when we had to leaving we had to vacate the rooms early in the morning and put our suitcases in a storage room. The room is large but not very well looked after: stained shower, broken towel rail, broken wardrobe etc.
The owners are not welcoming. For example, you can only pay in the evening from.... to.. Who knows?",3,48
"Lovely place without car traffic.||Nice little village. Good food, good selection for vegetarians. ||Well-stocked supermarkets. ||Hiking trails to other lovely beaches. ||Nice good rooms, comfortable beds! ||Nice host couple. Good …",5,12
"Well-equipped studio with a terrace with table, armchairs and parasol. Correct bedding. Everything is clean. Good welcome. View of the sea. The building is far enough away to be quiet. The building is neat.",4,72
"Clean room, friendly staff. Definitely worth the money it costs! It has air conditioning, a kitchen and no TV (But it's not needed either!)|It is perfectly in harmony with the area. Very close to the sea, like everything in the bathhouse!",4,60
We rented an upstairs apartment for 3 days and I don't regret it at all: magnificent view of Loutro Bay.| The accommodation is perfect and the staff takes great care: the young lady found a taxi boat to leave the rental early for 4 e per …,5,72
"Loutro is in itself a place that takes you on a journey. Picturesque houses - rooms for rent, in white color, with blue windows and doors. It reminds of an island in the Aegean sea, but without cars. And the best way to experience it is to …",5,36
"We stayed one night at Villa Niki, a room with kitchenette and bathroom, with a beautiful view of the bay, but reserved compared to the chatter of the locals located along the only road accessible in this enchanting place. After going down …",4,96
"Impeccable room, ideal view, location right in the center, a little elevated||This hotel has everything to please, except its tired manager, unfriendly as if we were bothering him with our questions and requests. We had to try several times …",3,96
"We rented one of the ground floor studios and really enjoyed it. Without a sea view, but with a very small pleasant terrace for two. Impeccable cleanliness and very warm welcome. Well-equipped kitchen area, bathroom with hairdryer and …",4,84
"Amazing view of the beach, especially when it has a bright moon!! Very romantic balcony! Comfortable room, with a nice bathroom! The lighting of the space needs improvement. The sconces above the bed are not convenient, while the rest of the lamps do not provide sufficient lighting. But as an option I would do it again!",3,60
"In my opinion, the most modern rooms in the area for a reasonable price. The studios are quietly located, which means there is minimal noise pollution, and yet they are less than a minute away from the beach. Highly recommended! Only WiFi is extremely slow. Greetings",5,96
"Loutro is a very special place, which could have been designed to set a fairytale. |From the French windows of our studios in Villa Niki, you can enjoy a beautiful view of part of the bay, which becomes spectacular at the end of the day, …",4,96
"I stayed at Villa Niki with my girlfriend for just one night and it was an excellent experience. The structure enjoys a splendid view of the small port of Loutro as it is located high up (but still easily accessible). The rooms, welcoming …",4,108
The room was clean and with a sea view. The owners were helpful and when leaving they gave us a souvenir. There was a mini market under the room where you could stock up on essentials.||||P. HIGHLY RECOMMEND IT.,4,48
"Everything was very nice and clean, with all amenities but there was one big problem. In the shower, the hot water did not run at all, so we had to bathe in cold water.",3,24
"Excellent place, spotlessly clean and beautiful rooms and Mr. Andreas a fantastic host.",5,12
"The apartments are very spacious, have a balcony with a view of Loutro towards the harbor, are beautifully furnished and clean!||The place is enchanting and when you have found such beautiful accommodation, everything is just perfect and we …",5,84
"I wonder how the Sfakians tolerate such a person in their place, who defames the whole of Crete in terms of hospitality. All he needs is exile in a desert. Unfortunately it ruined our vacation for a 25 minute check out delay. (11 o'clock …",2,36
"We were a bit unlucky. The air conditioning in our first room (in the newer part) was broken, so we were given a room in the older part of the complex. Apparently also very pretty but with a few quirks: extremely loud refrigerator, very …",3,84
"First take a room on the top floor, then open the window and look… at the sea!!! Impeccable bedding, adorable staff, simple but very clean, well soundproofed, a little away from the relative hustle and bustle... Not far away is a small …",4,96
"Short trip. Warm welcome from the couple managing the hotel. ||The location, a little higher up, is ideal, far from the restaurant terraces. We had reserved a 2-room apartment. Very charming. Fantastic view. Very clean. A perfect place, …",5,84
We had a great time and Mr. Andreas helped a lot. He was very kind and helpful. The rooms are clean and spacious with quietness and a nice view. We will definitely be back next year.,5,48
"We stayed one night at Villa NIKI, we were welcomed by the owner who was immediately friendly and helpful, he provided us with detergent for washing clothes, anti-mosquitoes and an umbrella. The room is a real gem, bed in the rock with …",5,48
"We spent just one night at this property during August 2012, ahead of our visit to the village of Loutro. Given the little time available we didn't have much to do with the owners who, during the communication and upon our arrival, still …",4,132
Spotlessly clean hotel with large spacious rooms in a very quiet alley away from the hustle and bustle! Although there is NO commotion in Loutro! ! ! Very welcoming and helpful staff. Everything is perfect! ! ! I will go again with great pleasure! ! !,5,60
"Because of the limited number of beds and the ""non-existence"" of nightclubs/disco etc., Loutro is still an insider tip if you are looking for peace and relaxation in a somewhat typical Greek atmosphere. The small town only consists of 2 or …",5,132
"This is the third time we have stayed at Villa Niki, and it will not be the last. |Clean, beautiful, well-equipped rooms with lovely views and the scent of lavender. |Andreas and his wife took good care of us, and showed great care when we …",5,48
"It was our first time in Loutro, which we visited together with our children. The studio they gave us was amazing, exactly what we asked for. Upon arrival, as was the first mistake. They informed us that they would move us to another hotel …",1,36
"Very nice rooms, spacious and with very comfortable beds. The personnel was very friendly!! I would go again for sure!",5,24
"very relaxed welcome, spacious studio, simple, but equipped with kitchen and fridge, very beautiful view, a little above the village, a balcony with table and chairs, quiet, for €45 without breakfast; we especially enjoy the wonderful setting of the village of Loutro",4,84
"Delightful and spacious room equipped with everything you need. Huge bed (comfortable), ceiling with exposed beams, small balcony with a wonderful view of the fabulous Loutro. Everything new and clean. A dream place. To return as soon as possible!",5,96
"Gorgeous view even if it's not on the port | Clean rooms at low prices! Excellent choice for those who stay for several days, possibility of cooking and eating on fantastic terraces with sea view! Cleanliness and courtesy!",4,84
"Cozy apartment accommodation with kitchenette... clean and fresh. Very nice reception, I will stay here more times.|The surroundings are very beautiful, perfect location if you are going to hike this section of the E4 trail.",5,60
"Beautiful apartment. Just looks so beautiful. Great view. Without morning food, but that doesn't matter to me. Small grocery store just downstairs with everything you need for both wine, beer and water. The apartment is equipped with two …",4,72
Everything perfect Andreas knows how to make everything better than it needs to be. One of the best and cleanest places in the bathroom.,5,36
"Very friendly host! The room is clean and equipped. The exterior is lovingly cared for:. At night, candles are lit everywhere in the yard...",5,48
"we stayed 4 times, we always had a great time: excellent value for money, clean, kind every time, I recommend the studio on the ground floor with a rock wall, especially the studios that are in the old building, not the most recent.",5,96
"Great stay at a height a little away | Very beautiful view from the terrace | Very good bedding which is rare on the peak | Cool room | And remarkable welcome from Julia, discreet but very helpful | Loutro is very touristy but once on his …",5,84
"The rooms are very neat and clean, the service is terrible from the children while the view completed the perfect experience.|It is worth its money with the above especially compared to other accommodations in the bath which simply do not offer any quality and charge accordingly",5,84
"I spent just one night in this studios with my boyfriend and I must say that we had a very good time.||The room was clean and quiet, equipped with a kitchenette, fridge, air conditioning and a nice little balcony with a beautiful sea view. …",4,132
"super spot on Loutro||, spacious rooms, clean, price is very good||, fri staff, sun on the balcony, supermarket around the corner,||we will definitely go back. Please note the boat times, and the departure with the bus to Chania.||we had a rental car, which was left for a week without being used.",5,120
"Nice big apartment, thin ceilings. Purely honest",5,36
"Nice rooms, good big beds, fair prices and very good location in town with a great view. Recommendation",5,12
Very neat and very clean rooms. Great location. Great view.,5,36
"Perfect cleanliness, very good service close to everything, generally very good",5,36
Honest place. If it had a percola it would get five...... stars.,4,72
"Very good stay in this establishment,
Clean room with a beautiful sea view, very friendly staff.
I recommend",5,24
"Nice place, perfect for a family or a large group, but also for couples.",5,60
"Spacious rooms, large comfortable bed, large bathroom and comfortable shower, splendid view. Advised!",4,48
It was very nice,5,8
Impeccable rooms. Incredible sea view. Unbeatable price. What more can be said,4,36
Nice apartment tastefully renovated and magnificent view of Loutro. Perfect!,5,72
Apartment is simple but cozy. Owner is super friendly and very helpful,5,48
Very nice with an incredible terrace,5,48
Very nice view......,4,24
"Beautiful place, good people, hospitable",5,48
Alright,5,60
Wonderful secluded place for relaxing on the beach and hiking,5,72
