text,stars,months_ago
"Thought I'd died and gone to heaven! Loved it. Very simple. But that's the attraction. No shops nearby, just sea, mountains, goats and a big sky.......en suite very basic, but adequate. Food fresh and utterly delicious.",5,48
"Secret hotel with its secret beach. Food is delicious (fish from the day mostly). Do not hesitate. You can acces it by boat letting your car on the other side, or by car but the mountain road is a bit difficult, still doable. …",5,84
"We stayed here for a day. Cosy place, with really nice view. The food is pretty good. The road to this place is an great adventure.( Little dangerous) 4*4 WD is adviced. …",5,84
When we set off from Loutro we didn't know that the village of Phoenix and Finikas bay were around the headland. After a good walk on a hot day we stopped for a drink and a chat with the waiter who gave us an alternative route back to …,4,36
...nice place...nice cooking...nice cleaning...nice people...fast service...Amazing...!,5,5
I want to say thank you very much for all the people right good thinks for this place!!,5,6
"Beautiful family run hotel, was highly recommended by a friend so we booked here for a few nights and absolutely loved it. Lovely staff and great food in the restaurant too ☺️",5,12
"cosy off-site hotel. 15 min walk to next village, best reached by boat or by foot when walking the south coast of Crete.
fresh, delicious food with a lot of local ingredients. really friendly an relaxed staff.",5,108
We shared 3 dishes and thought they were all delicious. Perfect beachy lunch,5,12
Silent places with a amazing view and the road until here is breathtaking. Only a few parking lots available Only for guests.,5,12
"We stayed there for 5 days, excellent friendly service all day long, from breakfast  to dinner, super view over the beach and nice rooms … we will come again 😀 …",5,24
One of the most beautiful place in Crete! Beautiful place with an amazing beach!! I am amazed by the food! Fresh an tastefull! 100% The 1st place you should visit in Crete!,5,48
Amazing place.Quite and confortable rooms with a beautifull veiw on the sea.Very good food! The waiters are frendly and nice.Lovely and friendly family.,5,72
"By far the worst service anywhere on Crete and Greece. They were rude and lazy... it’s such a shame that a place like this reflects badly on Greek hospitality, unfortunately the staff definitely weren’t Greek...",1,48
Great and friendly staff. Limited choice in restaurant. Fantastic view at the seaside.,3,24
This is a beautiful spot. The E4 passes through the Taverna.,4,11
Very good accommodation and food in a beautiful area. Great walking.,5,24
"Good hotel, beautiful views of Loutro bay from the terrace and bedrooms, food good.",4,24
Amazing retreat with great swimming and spectacular views. Good place to get away from it all.,5,72
The beer was ice cold,5,5
The most peaceful place in Crete and the best choice to eat fresh fish...,5,60
Perfect goat meat. Do not order fish or other see products.,5,72
One of the cutest hotels ive ever been to + amazing food!!,5,84
מקום נפלא מבחינת הנוף. המגורים והאוכל בינוני,4,60
"Basic, but clean and comfortable with good food and a lovely setting",4,84
Just need a bit more wifi signal so you could work at night from your room...,4,60
Stopped off for a white wine and very nice welcoming people in the place,4,60
Nice place for a breakfast or a dinner with a short walk from loutro.,3,96
"Beautiful spot, very good moussaka",5,36
simple rooms but the place is little paradise,4,72
Please don't go there so you spoil it for everyone one else.,5,36
מקום מדהים! מומלץ בחוץ,5,96
Very good fish,4,12
"Quiet accommodation,  peaceful.",5,24
Great place for a relaxing drink & food,4,60
Lovely cove and friendly place,4,24
Excellent!!,5,12
Outstanding service,5,24
Unpolite staff.,1,60
"A little paradise. Beautiful place, spotless tavern, delicious and fresh food. Perfect and fast service from everyone..........Hospitable and loving family business.......We highly recommend you to visit.....",5,5
"Magnificent setting and location, the rooms are pleasant apart from the bathrooms which are basic (shower & shower curtain).
No room service (emptying trash, cleaning, etc.) during the stay, cold welcome, …",3,6
"Previously only by boat and no internet available, according to the old travel guides. As times change, an oasis of calm is overtaken by modern times. Either over the mountain (1/2 hour) or around the mountain in 1 hour from Loutro.",5,5
"Perfect cuisine, very good quality.
Of particular note:
The always friendly head waiter Bio gives competent advice and anticipates every wish.",5,5
"A holiday paradise that is second to none! We have been regular guests for many years and each time it becomes more difficult to leave. Enjoying the excellent, freshly prepared food on this beautiful terrace is unique. The menu is varied, …",5,8
Old Fönix Hotel. A really wonderful beautiful place to relax. There is a restaurant and bar in the hotel where you will be served excellent traditional and regional food and drinks. There is a pleasant beach right next to the hotel with …,5,7
"You have to understand the place, isolated in a magnificent little cove that is difficult to access by car. You have to understand the Cretans, they are at home, welcoming and with family, they bring this place to life by making it more …",5,12
The location of the tavern is a dream. A beautiful walk leads from Loutro to this beautifully located bay in half an hour. …,3,9
"You are looking for peace and quiet, this place is made for you A heavenly place surrounded by mountains with a small beach lined with tamarisk trees. Easily accessible, the water is crystal clear. In terms of accommodation, nothing to say, …",5,9
"It's a lovely place! There aren't many words to define it, but it is definitely a stop that shouldn't be missed on your trip to Crete. Really great food, especially the fish. Excellent value for money (in Italy we dream of prices like this in places like this!",5,12
"The Old Phoenix is ​​a great place. Beautiful views, absolute tranquility and very tasty fresh Greek cuisine. The service is very friendly and helpful. I have now eaten almost the entire menu and I cannot say that I was disappointed once. …",5,12
Small cove between Loutro and Marmara beach. Possibility to rent sunbeds and umbrellas. There is a tavern where you can eat traditional Greek dishes. In addition to the tavern there is also a small hotel.,4,12
"For those seeking peace, calm and serenity, it is an ideal setting with a team that does everything to make your life pleasant. We rented the independent studio, which was perfectly equipped and located a little further away. the charming …",5,8
"Time stops. Good tavern, the prices in loutro are a little higher than those in Crete. It remains a little corner of paradise 🤩 small confidential beach is cool 😎 a beautiful place. No one came for the deckchairs. It must be nice to stay the night …",5,12
"For the restaurant, warm welcome and great service with a breathtaking view, very quiet location.
In short, a little corner of paradise",5,6
"Small pebble beach with crystal clear waters and turquoise backgrounds, uncrowded. We recommend access by boat because access by car is very complicated (winding road in the mountains and stony tracks). The restaurant: Very friendly welcome, excellent service, very good fresh fish. With breathtaking sea views.",5,24
"The Old Phoenix is ​​a ""hotel"" in a cove/marina behind Loutro: from Loutro you can get there by boat organized by the tree itself, on foot along a 25 minute path, very pleasant if you don't have luggage, or through a very steep dirt road, …",4,72
We stayed in this small bay after walking the trail starting from Loutro. The walk is worth it for the landscape and is not demanding if you don't do it during the hottest hours (it's all in the sun). The beach is small but equipped and the …,5,72
"The place has charm, it is unique. Very difficult to reach, we went there by car but the road is challenging (we recommend a 4x4 for safer travel). The beach isn't that great (the water was full of oil). The restaurant is decent, prices are …",4,120
"Excellent location, the place is paradise, for those who want to be quiet and enjoy the sea, the food, the fresh fish and the company of the locals. Simple, beautiful rooms on the sea! You sleep, eat, swim, all in just a few steps. The …",5,7
"Meal quickly dispatched by ""kindly"" imposing a Greek salad and tzaziki for two. Mini salad, the least garnished we had. Not possible to have dessert, a group from a tour operator chasing us away. The small beach then becomes much less …",1,12
"Very nice small family business with simple rooms (all balconies with sea views). The restaurant serves fresh, homemade food every day. Fantastic is the charming and humorous head waiter Bio, who looks after his guests with great attention. …",5,12
"Beautiful, small hotel right by the sea, adapted to the landscape. Extremely quiet location, only accessible by houseboat. All rooms with sea view and terrace. Great Sfakiotic cuisine and great service. The sea here is still crystal clear, …",5,60
"Hotel ideally located by the sea in a quiet area. Beautiful sea view from the rooms.|Basic comfort, clean. |Very good restaurant, especially for fish. |15 minutes from Loutro via a small path, 45 minutes from Mamara. |Only downside, for the …",4,60
"The poor rating does not concern the food, which is still good, but the cold and unfriendly service. Only a small portion of the menu dishes they brought to us seemed available. We wanted to finish the meal with coffee but the waiter told …",2,60
"We have been here for the third time. It's simply quiet here, completely protected from the wind by the white mountains, guaranteed no rain and relaxing. The water is slightly refreshing thanks to cold freshwater springs but very pleasant …",5,120
"What a joy to be here once again (I've been coming every year since 1999...).||This family hotel is a treasure. The welcome is friendly, simple, discreet, full of trust. The food is excellent and the products (vegetables; meat, fish, fruit, …",5,48
"It must be said, the place is exceptional, timeless, the surrounding landscape very beautiful!||But in terms of authenticity, it leaves something to be desired! Fortunately, the lapping waves of the creek are there to help you forget the …",3,60
"attention: the guesthouse can be reached on foot or by taxi boat. However, don't think you are in a quiet place. Microscopic and crowded pebble beach, if you use the pension's deckchairs and umbrellas you pay. For the restaurant and for …",1,96
"After just a 15-minute walk you can escape the hustle and bustle of Loutro and find a tranquil restaurant with a relaxing, quiet atmosphere. The menu is clear, but completely sufficient for all tastes. The quality was good and the service was very accommodating. A perfect place to relax.",4,48
"Warm welcome and magnificent setting.
Discovered by a GPS error.
Complete and appetizing breakfast. …",5,24
"So far everyone in every restaurant in Greece has been very hospitable, cheerful and generous. In this restaurant they seem stressed and rushed, when it is already a bit full you notice the stress. The staff gives the impression that they …",2,36
"Reached by boat or a 7-minute walk along a goat path from the lively port of Loutro, the small bay with the only hotel/restaurant feels like an enchanted place. A place of peace, relaxation, good food and friendly gastronomy. And a good starting point for hikes, especially to the nearby Aradena Gorge.",4,96
"Remote but accessible, family-friendly and warm, you eat very good traditional Greek cuisine at an affordable price. Close to marmara and loutro without having the disadvantages. We come back regularly as a family. The rooms are simple but all have air conditioning, fan, hairdryer and terrace overlooking the sea...",5,72
"at first I thought I would feel like a prisoner of this place which is a bit difficult to reach and leave, but I soon realized that it is the starting point to go to Marmara, Sweet waters and of course Loutro. The quality of the food is …",4,120
"Secluded, pleasant, only accessible on foot or by boat - great. The food is good, after a while there's a bit of a lack of variety (but that's generally the case in Crete; fish, feta and tomatoes then become a bit bland) but a great tip for …",4,48
"Thank you for the always very pleasant welcome and service at the Old Phoenix!|Very good grilled sardines. We also come back for the dakos, and always a free raki at the end of the meal - have a good visit and hope you like this place, the beach is also nice",5,12
"Those who like peace and quiet will certainly appreciate this place. You can reach the hotel by taking the boat from Loutro. The rooms are simple, but the view from your balcony is priceless. Loutro can be reached on foot within 30 minutes …",4,132
Fantastic! Food comes straight from the sea for you. To get there by car it is better to rent a 4X4 :-) By car it is doable if you are not afraid of heights and can drive well and quietly. By boat or on foot it is a lot easier and is a …,5,96
"Quiet place, ideal for a relaxing holiday. The road to get there is a bit long, unpaved and bumpy. Friendly and helpful owners, slightly rustic waiters (all male). Clean rooms. A somewhat Spartan place, not as refined as it seems from the outside. ""Seaside refuge"" environment. Advised",4,96
"either by boat or with an off-road vehicle but then an enchanting place. I just ate with a breathtaking view of a cobalt blue sea. Mediterranean atmosphere like you don't meet anymore, simple people like those of the past. good food and unique mountain honey.",4,120
"Loutro is a little gem in southwest Crete. Because you can only reach the town by car by ferry, Loutro is practically car-free. The place, decorated entirely in white and blue, is located in a sheltered bay with crystal clear water.||The …",4,72
"Close to the Aradena and Loutro gorges and on the water's edge, this place is ideal for those who want to stop time. The welcome is very friendly, the staff ready to find solutions for our comfort. The rooms are simple. I recommend the walk from there to Hora Sfakion, on the mountainside, then return by ferry to Loutro.",5,72
A very nice place to relax. The rooms are old but the view and proximity to the clear sea are beautiful. The food in the evening is also great. The breakfast didn't convince us.,4,48
"07.10.2019. I didn't eat there or stay there. I only passed through it while hiking but I actually found that it is an excellent landmark, very precisely located by Google, for hiking either towards Marmara beach to the west or towards the …",5,48
"Nicely located restaurant, unfortunately the service is not the best. The waiter extremely
musty and not exactly friendly. 👎 …",4,24
"The Old Phoenix manages to reach 3 balls only thanks to the location and the tranquility emanating from the rooms with a suggestive sea view, certainly not thanks to the terrible cuisine and the desire of the staff to make you feel …",3,96
Old Phoenix is ​​definitely recommended the hotel and the view are fantastic and the service 5/5 the waiter is very funny and nice Bio I have been there many times now and I love it,5,10
You have to be motivated to get there because there is no road but a steep and winding track... The game is worth the effort,5,10
"Scammers / Liars / Απατεώνες - Αvoid this place, its dirty, no charm and waiters stare at you like rapists. To be avoided at all costs: dirty, waiters who complain and the boss who cheats on room prices at the start. Να το αποφύγετε. …",1,72
"We arrived at 7 p.m. without reservation, the boss gave us a room and served us a very good meal, very welcoming and respectful staff. The next day we went to Loutro on foot, a very good path connecting the hotel and Loutro. We will stay again if we come to the area",5,48
"Magnificent place, very pleasant and kind staff but the bedding is very very hard and the tavern serves traditional dishes for tourists... Finally the road, if you are adventurous, go there, otherwise take the boat to Chora Sfakion.",3,24
"Magnificent landscape, even more beautiful than the postcards. Warm welcome, the people are lovely. Authentic cuisine, you will eat very well.
Absolutely have!
Is unique, is my paradise!!!",5,72
"We arrived in Old Phoenix in the afternoon via sea. The boat slowly slipped into a bay of turquoise water where the hotel was beautifully situated at the end, and we were welcomed by a friendly host. Every morning we woke up to only sounds …",5,72
"Beach okay, service rather unfriendly and money-oriented, a shame. Ate there today, quite a rip off there 4 euros for bread that I didn't order and 4 euros for horrible tzatziki. Avoid.",1,12
We arrive here after a short hike from Loutro.||The hotel and restaurant are located in an adorable bathing bay.||You are greeted so warmly by the staff and genuine dishes prepared by the family are served.||It is as if you find yourself 50 …,5,36
Beautiful little bay with paid sunbeds and umbrellas. Tavern where we enjoyed excellent grilled sardines.,4,24
"The palm of Sfakion province, is a quiet deserted port located on the South side of the WHITE MOUNTAINS
The family of ""ATHITIDES"" …",5,36
"Great location of course!
Delicious seasonal meats!",5,7
"Great peaceful place to relax and enjoy your holiday. Not a super luxury place, but nice and clean. Wonderful nature and lovely close to Loutro, where you can shop and enjoy good local food. The water is among some of the best I have swum …",5,84
Excellent beach with really beautiful spots to swim and appreciate the true colors of Greece,5,12
"Nice service, good food, friendly people, good rooms and beautiful scenery. Definitely worth a visit 👍 …",5,12
"getting here is easy by boat from Chora Sfakion and much more difficult by car by taking a detour - the road is very narrow and intended for off-road vehicles, much worse than on Balos. But the water here is crystal clear, the boats seem to float in the air.",4,60
"If you want time and peace for reflection, this hotel is excellent. They are all alone in a bay and have an excellent restaurant. There are relatively few tourists and you have access to hikes in the mountains, as well as in a large gorge. …",5,120
"For the first time, my wife and I have taken a vacation the way a vacation should be taken. After 14 days in Old Phoenis, we are totally rested and ready for the next year's work. It is the first time we visited the place, and we really …",5,144
"Unique location that came out of heaven!! The sea is crystal blue and the waters very clear!
I highly recommend it, however, to get there you will have a little difficulty …",5,24
"We came to Old Phoenix by car - it is not recommended if you do not have a car with good ground clearance and good nerves. The hotel is beautifully situated in the bay west of Loutro. There is a simple standard, friendly service and clean …",4,84
Obviously the setting is magnificent but it is a real shame that the managers and staff are not welcoming.... they don't care! if you go there check the price of your nights when you arrive. Disappointing.,1,72
"Arrived on a warm June evening by sea. The surroundings were as beautiful as a postcard, the sounds were grasshoppers, lapping waves and goats.||Good traditional food served on checkered tablecloths with the finest sea view.||You almost have to pinch your arm not to believe it's just a dream.",5,72
"Just, perfect, very friendly staff, comfortable rooms, delicious food, very comfortable beaches, only drawback, in the morning, the local taxi boat warms up its engine and during breakfast, it's not the most pleasant, but, fault quickly erased when you get up around 10 a.m., so go for it, it's worth it",4,48
"Heavenly place in a small hidden cove, the restaurant is nice but the hotel is a little disappointing: cold water in the shower, wifi too slow to use, very dirty floor.",3,48
"Picturesque view, sitting right on the water. Just had something to drink in the restaurant. But you can settle here.",5,48
"It is a resort in South Crete. The rooms are clean although many of them are very old. The owners are helpful and quite willing. The food is very good but expensive! I justify the cost as the food is brought in by boat, but I guess a lot of it is home grown. The view from the rooms is perfect!!!",4,120
"Badly received twice over two years, we've been coming to the area for six years, now we don't stop...when we go to Marmara Beach...we prefer to eat at Loutro or Marmara.",1,72
"Words are unnecessary for Finikas of Sfakia! ||Small port of the South, next to Loutro. The crystal clear waters invite you! And the restaurant above, offers traditional local flavors in a Parisian environment on the ground floor of an old …",5,72
"A magnificent place in the south of the ridge, a tavern with quality cuisine, a warm welcome from the waiter who made the effort to speak French",5,24
"I have been a very long-time regular (15 years) at this guesthouse in southern Crete.||The charming and attentive welcome from the family and staff, the simple and delicious food, the tranquility, the charm of the site and the beauty of this small cove, make it a ||restful and beneficial stay.",5,48
"Hidden spot, you can swim and snorkel there. Crystal clear water with lots of fish.",4,48
Very good food and warm people...,5,10
"Very nice beach.
Good service, very nice tastes in the tavern.",5,12
Beautiful beach with emerald waters. The food in the tavern is excellent.. Don't forget to try the zigariasto and the Sfacian pies for breakfast,5,60
Expensive tavern for no reason!! far away!!!,1,7
"Food of a high standard with a beautiful view of the bay, despite the difficult commute, it is really worth it",5,24
"Very nicely located and not too crowded.
Prices are ok",5,12
"The place is just perfect, the absolute relaxation!!! The food is excellent in the tavern. Hospitable people!",5,24
Very beautiful and pleasant place..with hospitable people and a very nice atmosphere..,5,48
A real paradise on earth of quiet and meditation.,5,12
calm place to relax!! ideal for swimming and for children!! calm sea and the main Wi-Fi Code!!,5,72
"Difficult access, small beach with pebbles and not clean.",3,24
The service was very slow and the Greek salad was the most expensive and smallest from the visit to Crete,2,24
Delicious food and friendly service at affordable prices 😁 …,5,10
"Fantastic location...
Incredible sea.... Turquoise waters...",5,24
Excellent location for relaxing and enjoying the sea and landscape,5,24
I've been going to this place for as long as I've been alive and I've never gotten bored,5,48
"Here we only took a bath before leaving, after having been to Loutro, this is also worth it.",4,72
Beautiful place ! Clear water ! Quiet and welcoming environment!,5,24
"Charming place - nice owner - food is good, but sometimes a bit greasy",4,84
"Fabulous place, cut off from the world, simple but so authentic🏖 very warm welcome …",5,84
Super nice place with unique charm!,5,12
"An excellent place for a secluded holiday for lovers of the sea, sun, underwater photography and hiking.",4,72
Very helpful polite staff and good food,5,24
"Authentic, simple, perfect!",5,7
"Very good cuisine, friendly staff, gladly again",5,48
Nice tavern on a secluded beach.,3,12
Fantastically beautiful nature. Lovely food and super service.,5,48
Good service and reasonable prices. Fantastic location and good food.,5,60
Great hospitality and unique people!!,5,48
"Beautiful environment, good food, clean sea",5,60
Nice bar/restaurant on a lovely beach,5,24
Finkas vendi ma imir per pushume ushcimet mate mira,5,72
Very good service,5,9
"Good food, relaxed environment",4,24
"...a great, quiet place in the southwest of Crete...",5,48
Very good restaurant and super nice,4,84
Magical atmosphere and tranquility!,4,72
The perfect view!,5,24
Yummy,3,24
Very beautiful!,5,24
Flawless,5,48
Everything is great!!,5,36
Amazing place,5,120
Magical place.,5,36
