,text,stars,months_ago,summary
12,"So now I'm back again at Old Phonix. If you want details you can read my review from 2017, because it hasn't changed much. And that is what's so lovely about it. A beautiful building in a beautiful place. Very well kept, painted in …",5,12,old Phonix is a beautiful building in a beautiful place. the building hasn't changed much. it's a beautiful building. it's very well kept and painted in.... and that's what's so lovely about it.... and that's what's so lovely about it.............
13,"A most beautiful and relaxing place, very friendly atmosphere and the best views of the landscape you can get! This family run hotel is very unique, with great food, very nice people - the most authentic greek impression possible. We visit …",5,12,"the family run hotel is very unique, with great food, very nice people - the most authentic greek impression possible. we visit a beautiful and relaxing place, a friendly atmosphere and the best views of the landscape. a family run hotel is a family run hotel, with great food, very nice people - the most authentic greek impression possible. a family run hotel is a family run hotel, with great food, very nice people."
14,I was a spectacular road but also a «hard drive» down the mountain -the last km was on a dirt road. But the view both getting to  the Taverna and sitting at the Taverna was very nice. The Mossaka and the Greek salad tasted very good.,4,12, the last km was on a dirt road. but the view both getting to the Taverna and sitting at the Taverna was very nice. the Mossaka and the Greek salad tasted very good.
15,"Food was regular and good, typical greek and fresh. The location sea view was very quiet, fresh, not crowded at all. A pity that the service was not at the same level. It seemed that the waiter , probably even the owner, was not really willing to care about customers.",3,12," food was regular and good, typical greek and fresh. sea view was very quiet, fresh, not crowded at all. the waiter, probably even the owner, was not really willing to care about customers."
16,"It's our small paradise on earth. We  came again with our teenagers for a perfect week vacation. Not first and for sure we will come again. Rooms are very simple with a perfect sea view and a balcony. The beach is quiet, clear water. The …",5,48," we came again with our teenagers for a perfect week vacation. rooms are very simple with a perfect sea view and a balcony. the beach is quiet, clear water."
17,"My wife and I recently stayed at the Old Phoenix and had the most wonderful stay. If you're looking for simple relaxation - sunbathing, reading, walking and swimming this is a great place. The weather was beautiful as was the scenery. The …",5,48, my wife and I recently stayed at the old Phoenix and had the most wonderful stay. the weather was beautiful as was the scenery.
18,"This is the best vacation i have had, the hotel is on an amazing beach and the restaurant has the best food! We had the fresh fish the owners caught on a daily basis and ate other home made food that was cooked! The place is so relaxing and …",5,48,the hotel is on an amazing beach and the restaurant has the best food. we had the fresh fish the owners caught on a daily basis and ate other home made food that was cooked. the place is so relaxing and the restaurant has the best food. the restaurant has the best food. the restaurant has the best food. the restaurant has the best food. the restaurant has the best food. the restaurant has the best food. the restaurant has the
19,I really don't understand how so many people liked the food and the service. In our case we had a waiter constantly coming to our chair to demand 5 euro for the beach seat. …,1,24,a waiter came to our chair to demand 5 euro for the beach seat. a waiter always came to our chair to demand 5 euro for the seat. a waiter always came to our chair to demand 5 euro for the seat. a waiter always came to our chair to demand 5 euro for the seat. a waiter always came to our chair to demand 5 euro for the seat. a waiter always came to our chair
20,"I stayed here with some friends for 6 weeks in 1981. It is a fantastic place to stay for as long as you want. I have been back quite a few times since, the family that run it are very friendly, more like family to me. It is nice to meet the …",5,108, I stayed here with some friends for 6 weeks in 1981. it is a fantastic place to stay for as long as you want. it is nice to meet the...
21,"You'll pass this place on your hike along this stunning coast. The taverna looks inviting and as modern as Tesla, well at least in these parts. I sat at 1205pm and was told the kitchen doesn't open for 25 minutes...have some stuffed …",3,12," the taverna looks inviting and as modern as Tesla. the kitchen doesn't open for 25 minutes...have some stuffed animals. the taverna looks as modern as Tesla, well at least in these parts. the taverna looks as modern as Tesla, well at least in these parts. the taverna looks as modern as Tesla, well at least in these parts."
22,Beautiful location but if you want a wonderful quiet romantic time don't come when there's a Yoga group here for a week and using amplified vocals on the harbour during the day...Food and Drink fine but noise levels not what the publicity suggests!,3,12, yoga group uses amplified vocals on the harbour during the day. food and drink fine but noise levels not what the publicity suggests.
23,The strong point of this hotel is its unique location and wonderful views.    The owners are friendly but my bathroom smelled of drains and there was poor grouting with dark brown stains.     The bedrooms were only serviced once every three …,3,96,the rooms were only serviced once every three. the rooms were only serviced once every three. the owners are friendly but my bathroom smelled of drains and there was poor grouting with dark brown stains. the hotel is located in the heart of the city. the hotel is located in the heart of the city centre. the hotel is located in the heart of the city centre. the hotel is located in the heart of the city centre.
24,"Nice and calm place, less traffic than in Loutro. We had a very nice lunch with a Cretan salad and Mousaka. Will surely com back.",5,12, we had a very nice lunch with a Cretan salad and Mousaka. Will surely com back.
25,"We love The Old Phoenix - this is the fourth time we’ve visited in the last ten years or so. It’s secluded and quiet, and the swimming in the bay is sublime. If you’re expecting five-star luxury, go somewhere else; this is a traditional …",5,5," this is the fourth time we’ve visited the old Phoenix in the last ten years or so. it’s secluded and quiet, and the swimming in the bay is sublime. this is a traditional..."
26,"Second time here and will be back again. Sparkling clean, excellent Taverna, perfect private beach and friendly stuff. Most beautiful bay in Crete. We love it. Family owned and you can feel it! Thank you and see you next year.",5,48, second time here and will be back again. most beautiful bay in Crete. Thank you and see you next year.
27,"Beautufil place, very nice people and a great kitchen. A place hidden from everything",5,6,"Beautufil place, very nice people and a great kitchen. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place hidden from everything. a place"
28,"Thought I'd died and gone to heaven! Loved it. Very simple. But that's the attraction. No shops nearby, just sea, mountains, goats and a big sky.......en suite very basic, but adequate. Food fresh and utterly delicious.",5,48,"en suite very basic, but adequate. food fresh and utterly delicious. a little bit of sour cream. a bit of a sour cream. a bit of a sour cream. a bit of a sour cream. a bit of a sour cream. a bit of a sour cream....."
29,"Secret hotel with its secret beach. Food is delicious (fish from the day mostly). Do not hesitate. You can acces it by boat letting your car on the other side, or by car but the mountain road is a bit difficult, still doable. …",5,84,"secret hotel with its secret beach is a bit difficult. you can access it by boat letting your car on the other side. the mountain road is a bit difficult, still doable. if you have a boat, you can access it by boat or by car. if you have a boat, you can access it by boat. if you have a boat, you can access it by boat. if you have"
30,"We stayed here for a day. Cosy place, with really nice view. The food is pretty good. The road to this place is an great adventure.( Little dangerous) 4*4 WD is adviced. …",5,84,4*4 WD is adviced. the road to this place is an excellent adventure. the food is pretty good. the road to this place is an adventure. the road to this place is a great adventure.... and the road to this place is a great adventure.... and the road to this place is a great adventure....and the road to this place is a great adventure....and the
31,When we set off from Loutro we didn't know that the village of Phoenix and Finikas bay were around the headland. After a good walk on a hot day we stopped for a drink and a chat with the waiter who gave us an alternative route back to …,4,36, the village of Phoenix and Finikas bay was around the headland. after a good walk we stopped for a drink and a chat with the waiter who gave us an alternative route back to...
32,...nice place...nice cooking...nice cleaning...nice people...fast service...Amazing...!,5,5,...nice place...nice cooking...nice cleaning...nice people...fast service...Amazing...!
33,I want to say thank you very much for all the people right good thinks for this place!!,5,6, i want to say thank you very much for all the people right good thinks for this place. i want to say thank you very much for all the people right good thinks for this place.
34,"Beautiful family run hotel, was highly recommended by a friend so we booked here for a few nights and absolutely loved it. Lovely staff and great food in the restaurant too ☺️",5,12,a friend recommended a family run hotel so we booked here for a few nights and absolutely loved it. the staff were very helpful and the food was excellent. the hotel is located in the heart of the city and is very close to the city centre. the hotel is a great place to relax and relax. the staff are very friendly and helpful. the staff are very friendly and helpful. the hotel is a great place to stay. the
35,"cosy off-site hotel. 15 min walk to next village, best reached by boat or by foot when walking the south coast of Crete.
fresh, delicious food with a lot of local ingredients. really friendly an relaxed staff.",5,108,"cosy off-site hotel 15 min walk to next village. fresh, delicious food with a lot of local ingredients. friendly and relaxed staff. a great location for a short walk to the south coast of the crete. a great location for a short walk to the south coast of the crete. a great location for a short walk to the south coast of the crete. a great location for"
36,We shared 3 dishes and thought they were all delicious. Perfect beachy lunch,5,12, we shared 3 dishes and thought they were all delicious. perfect beachy lunch and perfect beachy lunch.
37,Silent places with a amazing view and the road until here is breathtaking. Only a few parking lots available Only for guests.,5,12,only a few parking lots available only for guests. a few parking lots available only for guests. a few parking lots available for guests. a few parking lots available for guests. a few parking lots available for guests. a few parking lots available for guests. a few parking lots available for guests. a few parking lots available for guests. a few parking lots available for guests. a few parking lots available
38,"We stayed there for 5 days, excellent friendly service all day long, from breakfast  to dinner, super view over the beach and nice rooms … we will come again 😀 …",5,24," we stayed there for 5 days, excellent friendly service all day long, from breakfast to dinner, super view over the beach and nice rooms.... we will come again "
39,One of the most beautiful place in Crete! Beautiful place with an amazing beach!! I am amazed by the food! Fresh an tastefull! 100% The 1st place you should visit in Crete!,5,48,the food is fresh and tastefull. 100% The 1st place you should visit in Crete. the food is fresh and tastefull. the food is fresh and tastefull. the food is fresh and tastefull. the food is delicious and the food is delicious. the food is delicious and the food is fresh and tasteful. the food is delicious and the food is fresh and tasteful. the food is delicious.
40,Amazing place.Quite and confortable rooms with a beautifull veiw on the sea.Very good food! The waiters are frendly and nice.Lovely and friendly family.,5,72,the waiters are frendly and nice. The waiters are frendly and nice. The waiters are frendly and nice.The waiters are frendly and nice.The waiters are frendly and nice.The waiters are frendly and nice.The waiters are frendly and nice.The waiters are frendly and nice.The waiters are frendly and nice.The waiters are frendly and nice
41,"By far the worst service anywhere on Crete and Greece. They were rude and lazy... it’s such a shame that a place like this reflects badly on Greek hospitality, unfortunately the staff definitely weren’t Greek...",1,48,the staff were rude and lazy... it’s so a shame that a place like this reflects badly on Greek hospitality... unfortunately the staff definitely weren’t Greek... it’s such a shame that a place like this reflects badly on Greek hospitality... it’s such a shame that a place like this reflects badly on Greek hospitality... it’s such a shame that a place like this reflects badly on Greek hospitality... it’s
42,Great and friendly staff. Limited choice in restaurant. Fantastic view at the seaside.,3,24,great and friendly staff. Limited choice in restaurant. Fantastic view at the seaside. a great location in the seaside. a great view of the seaside. a great view of the seaside. a great view of the seaside. a great view of the seaside. a great view of the seaside. a great view of the seaside. a great view of the seaside.
43,This is a beautiful spot. The E4 passes through the Taverna.,4,11, the E4 passes through the Taverna.
44,Very good accommodation and food in a beautiful area. Great walking.,5,24,good accommodation and food in a beautiful area. good walking distance to the city centre. good food and good food. good walking distance to the city centre. good food and good food. good food and good food. good food. good food and good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food
45,"Good hotel, beautiful views of Loutro bay from the terrace and bedrooms, food good.",4,24,"good hotel, beautiful views of Loutro bay from the terrace and bedrooms, food good. good hotel, good views of the bay from the terrace and bedrooms. good food and good food. good location in the city centre. good location for a short walk to the city centre. good location for a short walk to the city centre. good location for a short walk to the city centre. good location for a short walk to the"
46,Amazing retreat with great swimming and spectacular views. Good place to get away from it all.,5,72, great retreat with great swimming and spectacular views. good place to get away from it all. good location to get away from it all.
47,The beer was ice cold,5,5,the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was ice cold. the beer was
48,The most peaceful place in Crete and the best choice to eat fresh fish...,5,60,the most peaceful place in Crete and the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the best choice to eat fresh fish. the
49,Perfect goat meat. Do not order fish or other see products.,5,72,"perfect goat meat. Do not order fish or other see products. do not order fish or other see products. do not order fish or other see products. do not order fish or other see products. if you are looking for a goat meat, please contact us at e-mail.co.uk. if you are looking for a goat meat, please contact us at e-mail.co.uk. if you are looking"
50,One of the cutest hotels ive ever been to + amazing food!!,5,84, one of the cutest hotels ive ever been to + amazing food. one of the cutest hotels ive ever been to + amazing food.
51,מקום נפלא מבחינת הנוף. המגורים והאוכל בינוני,4,60, 
52,"Basic, but clean and comfortable with good food and a lovely setting",4,84," basic, but clean and comfortable with good food and a lovely setting."
53,Just need a bit more wifi signal so you could work at night from your room...,4,60, need a bit more wifi signal so you could work at night from your room. just need a bit more wifi signal so you could work at night from your room.
54,Stopped off for a white wine and very nice welcoming people in the place,4,60,stopped off for a white wine and very nice welcoming people in the place. savoured a white wine and very nice welcoming people in the place. savoured a wine and a nice welcoming wine. savoured a savoury savoury savoury savoury savoury savoury savoury savoury savoury s
55,Nice place for a breakfast or a dinner with a short walk from loutro.,3,96, Nice place for a breakfast or a dinner with a short walk from loutro.
56,"Beautiful spot, very good moussaka",5,36,"beautiful spot, very good moussaka spot, very good moussaka spot. beautiful spot, very good moussaka spot. beautiful spot, very good moussaka spot. beautiful spot, very good moussaka spot. beautiful spot, very good moussaka spot. beautiful spot, very good moussaka spot. beautiful spot, very good moussaka spot. beautiful spot, very good mous"
57,simple rooms but the place is little paradise,4,72,simple rooms but the place is little paradise. the place is little paradise. a simple room. a simple room. but the place is little paradise. a simple room. a simple room. but the place is little paradise. a simple room. a simple room. a simple room. but the place is little paradise. a simple room. a simple room. a simple room
58,Please don't go there so you spoil it for everyone one else.,5,36,please don't go there so spoil it for everyone one else. please don't go there so you spoil it for everyone one else. don't go there so you spoil it for everyone one else. don't go there so you spoil it for everyone one else. don't go there so you spoil it for everyone one else. don't go there so you spoil it for everyone one else. don't go there so you spoil
59,מקום מדהים! מומלץ בחוץ,5,96, 
60,Very good fish,4,12,very good fish. very good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good fish. good
61,"Quiet accommodation,  peaceful.",5,24,cosy accommodation in quiet quiet area of the city centre. a quiet and peaceful accommodation. a secluded hotel with a quiet location. a good breakfast and a good breakfast. a good breakfast. a good breakfast. a good breakfast. a good breakfast. a good breakfast. a good breakfast. a good breakfast. a good breakfast. a good breakfast.
62,Great place for a relaxing drink & food,4,60,great place for a relaxing drink & food. great place for a relaxing drink & food. great location for a relaxing drink & food & a relaxing drink & food & a relaxing drink & food & a relaxing drink. a great place for a relaxing drink & food & a relaxing drink & food & a relaxing drink & food & a relaxing drink & food
63,Lovely cove and friendly place,4,24,lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove and friendly place. lovely cove
64,Excellent!!,5,12,excellent!!!...............................................
65,Outstanding service,5,24,Outstanding service................................................
66,Unpolite staff.,1,60,unpolite staff are on hand to help with the unpolite staff. the staff are incredibly friendly and helpful. unpolite staff are very friendly and helpful. the staff are very friendly and helpful. the staff are very friendly and helpful. the staff are very friendly and helpful. the staff are very friendly and helpful. the staff are very friendly and helpful. the staff are very friendly and helpful. the staff are very
67,"A little paradise. Beautiful place, spotless tavern, delicious and fresh food. Perfect and fast service from everyone..........Hospitable and loving family business.......We highly recommend you to visit.....",5,5,"a little paradise. Beautiful place, spotless tavern, delicious and fresh food...we highly recommend you to visit................................................."
68,"Magnificent setting and location, the rooms are pleasant apart from the bathrooms which are basic (shower & shower curtain).
No room service (emptying trash, cleaning, etc.) during the stay, cold welcome, …",3,6," the rooms are pleasant apart from the bathrooms which are basic (shower & shower curtain). no room service (emptying trash, cleaning, etc.) during the stay, cold welcome, cold welcome, etc."
69,"Previously only by boat and no internet available, according to the old travel guides. As times change, an oasis of calm is overtaken by modern times. Either over the mountain (1/2 hour) or around the mountain in 1 hour from Loutro.",5,5,"the old travel guides say that modern times are overtaking an oasis of calm. either over the mountain (1/2 hour) or around the mountain in 1 hour from Loutro. the old travel guides say that a modern day oasis of calm is overtaken by modern times. if you have a problem, you may be able to find a way to relax in the mountains. if you have a problem, you may be"
70,"Perfect cuisine, very good quality.
Of particular note:
The always friendly head waiter Bio gives competent advice and anticipates every wish.",5,5,the always friendly head waiter Bio gives competent advice and anticipates every wish. the always friendly head waiter gives competent advice and anticipates every wish. he is a very good waiter and a very good waiter. he is a very good waiter and a very good waiter. he is a very good waiter and a very good waiter. he is a very good waiter and a
71,"A holiday paradise that is second to none! We have been regular guests for many years and each time it becomes more difficult to leave. Enjoying the excellent, freshly prepared food on this beautiful terrace is unique. The menu is varied, …",5,8,"a holiday paradise that is second to none! We have been regular guests for many years and each time it becomes more difficult to leave. the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is varied, the menu is..."
72,Old Fönix Hotel. A really wonderful beautiful place to relax. There is a restaurant and bar in the hotel where you will be served excellent traditional and regional food and drinks. There is a pleasant beach right next to the hotel with …,5,7, the old Fönix Hotel is a great place to relax. there is a restaurant and bar in the hotel where you will be served excellent traditional and regional food and drinks.
73,"You have to understand the place, isolated in a magnificent little cove that is difficult to access by car. You have to understand the Cretans, they are at home, welcoming and with family, they bring this place to life by making it more …",5,12," you have to understand the place, isolated in a magnificent little cove that is difficult to access by car. you have to understand the Cretans, they are at home, welcoming and with family, they bring this place to life by making it more..."
74,The location of the tavern is a dream. A beautiful walk leads from Loutro to this beautifully located bay in half an hour. …,3,9, the location of the tavern is a dream. a beautiful walk leads from Loutro to this beautifully located bay in half an hour.
75,"You are looking for peace and quiet, this place is made for you A heavenly place surrounded by mountains with a small beach lined with tamarisk trees. Easily accessible, the water is crystal clear. In terms of accommodation, nothing to say, …",5,9," this place is made for you surrounded by mountains with a small beach lined with tamarisk trees. Easily accessible, the water is crystal clear. a heavenly place surrounded by mountains with a small beach lined with tamarisk trees."
76,"It's a lovely place! There aren't many words to define it, but it is definitely a stop that shouldn't be missed on your trip to Crete. Really great food, especially the fish. Excellent value for money (in Italy we dream of prices like this in places like this!",5,12,"it's a lovely place! It's a stop that shouldn't be missed on your trip to Crete. really great food, especially the fish. excellent value for money in places like this. a great food, especially the fish. a great value for money. a great food, especially the fish. a great value for money. a great food, especially the fish. a great value for money"
77,"The Old Phoenix is ​​a great place. Beautiful views, absolute tranquility and very tasty fresh Greek cuisine. The service is very friendly and helpful. I have now eaten almost the entire menu and I cannot say that I was disappointed once. …",5,12,the old Phoenix is a great place to eat Greek cuisine. the service is very friendly and helpful. I cannot say that I was disappointed once. the service is very friendly and helpful. the service is very friendly and helpful. the service is very friendly and helpful. the service is very friendly and helpful. I have now eaten almost the entire menu.. the entire menu is very tasty and tasty.....
78,Small cove between Loutro and Marmara beach. Possibility to rent sunbeds and umbrellas. There is a tavern where you can eat traditional Greek dishes. In addition to the tavern there is also a small hotel.,4,12, a small cove between Loutro and marmara beach offers a tavern where you can eat traditional Greek dishes. there is also a small hotel in addition to the tavern. the tavern is a small cove between loutro and marmara beach. the tavern is a small cove between the beach and a small hotel.
79,"For those seeking peace, calm and serenity, it is an ideal setting with a team that does everything to make your life pleasant. We rented the independent studio, which was perfectly equipped and located a little further away. the charming …",5,8,"the independent studio was perfect for those seeking peace, calm and serenity. we rented the studio, which was perfectly equipped and located a little further away. the studio is located in the heart of the u.s. and is a quiet, quiet and quiet place to live. it is a perfect setting with a team that does everything to make your life pleasant. the studio is located in the heart of the u.s. and"
80,"Time stops. Good tavern, the prices in loutro are a little higher than those in Crete. It remains a little corner of paradise 🤩 small confidential beach is cool 😎 a beautiful place. No one came for the deckchairs. It must be nice to stay the night …",5,12, the prices in loutro are a little higher than those in crete. it remains a little corner of paradise 
81,"For the restaurant, warm welcome and great service with a breathtaking view, very quiet location.
In short, a little corner of paradise",5,6,"restaurant, warm welcome and great service with a breathtaking view. a little corner of paradise, a little corner of paradise. a little corner of paradise, a little corner of paradise. a little corner of paradise, a little corner of paradise. a little corner of paradise, a little corner of paradise, a little corner of paradise. a little corner of paradise, a little corner of paradise, a little corner"
82,"Small pebble beach with crystal clear waters and turquoise backgrounds, uncrowded. We recommend access by boat because access by car is very complicated (winding road in the mountains and stony tracks). The restaurant: Very friendly welcome, excellent service, very good fresh fish. With breathtaking sea views.",5,24," small pebble beach with crystal clear waters and turquoise backgrounds, uncrowded. access by boat is very complicated (winding road in the mountains and stony tracks) restaurant: very friendly welcome, excellent service, very good fresh fish."
83,"The Old Phoenix is ​​a ""hotel"" in a cove/marina behind Loutro: from Loutro you can get there by boat organized by the tree itself, on foot along a 25 minute path, very pleasant if you don't have luggage, or through a very steep dirt road, …",4,72," the old Phoenix is a ""hotel"" in a cove/marina behind Loutro. from the city you can get there by boat organized by the tree itself, on foot along a 25 minute path, very pleasant if you don't have luggage, or through a very steep dirt road."
84,We stayed in this small bay after walking the trail starting from Loutro. The walk is worth it for the landscape and is not demanding if you don't do it during the hottest hours (it's all in the sun). The beach is small but equipped and the …,5,72, we stayed in this small bay after walking the trail starting from Loutro. the beach is small but equipped and the...
85,"The place has charm, it is unique. Very difficult to reach, we went there by car but the road is challenging (we recommend a 4x4 for safer travel). The beach isn't that great (the water was full of oil). The restaurant is decent, prices are …",4,120," the beach isn't that great (the water was full of oil) the restaurant is decent, prices are..."
86,"Excellent location, the place is paradise, for those who want to be quiet and enjoy the sea, the food, the fresh fish and the company of the locals. Simple, beautiful rooms on the sea! You sleep, eat, swim, all in just a few steps. The …",5,7," the place is paradise, for those who want to be quiet and enjoy the sea, the food, the fresh fish and the company of the locals. you sleep, eat, swim, all in just a few steps."
87,"Meal quickly dispatched by ""kindly"" imposing a Greek salad and tzaziki for two. Mini salad, the least garnished we had. Not possible to have dessert, a group from a tour operator chasing us away. The small beach then becomes much less …",1,12,a group from a tour operator chases us away. a small beach becomes much less. a tzaziki and a Greek salad are the least garnished we had. a group from a tour operator chases us away. a tzaziki and a Greek salad are the least garnished we had. a tzaziki salad is the least garnished we had.
88,"Very nice small family business with simple rooms (all balconies with sea views). The restaurant serves fresh, homemade food every day. Fantastic is the charming and humorous head waiter Bio, who looks after his guests with great attention. …",5,12,"the restaurant serves fresh, homemade food every day. the restaurant serves fresh, homemade food every day. the restaurant is a small family business with simple rooms with sea views. the restaurant is a very nice small business with simple rooms (all balconies with sea views) the restaurant is a small family business with a nice small family business. it is a great place to start a business with a great value for money. the restaurant is"
89,"Beautiful, small hotel right by the sea, adapted to the landscape. Extremely quiet location, only accessible by houseboat. All rooms with sea view and terrace. Great Sfakiotic cuisine and great service. The sea here is still crystal clear, …",5,60,"a small hotel right by the sea, adapted to the landscape. a quiet location, only accessible by houseboat. a great selection of cuisine and service. a great view of the sea and a great view of the sea. a great view of the sea. a great view of the sea. a great view of the sea. a great view of the sea. a great view of the sea"
90,"Hotel ideally located by the sea in a quiet area. Beautiful sea view from the rooms.|Basic comfort, clean. |Very good restaurant, especially for fish. |15 minutes from Loutro via a small path, 45 minutes from Mamara. |Only downside, for the …",4,60,"ideally located by the sea in a quiet area. a good restaurant, especially for fish. a small path, 45 minutes from Mamara. a good location for a secluded area.............................."
91,"The poor rating does not concern the food, which is still good, but the cold and unfriendly service. Only a small portion of the menu dishes they brought to us seemed available. We wanted to finish the meal with coffee but the waiter told …",2,60,"a small portion of the menu dishes seemed available. the waiter told us that the food was good. the waiter told us the food was cold and unfriendly. the waiter told us that the food was good. the food was good, but the service was not good. the waiter said that the waiter was able to finish the meal with coffee. the waiter said that the waiter was able to eat a good"
92,"We have been here for the third time. It's simply quiet here, completely protected from the wind by the white mountains, guaranteed no rain and relaxing. The water is slightly refreshing thanks to cold freshwater springs but very pleasant …",5,120," we have been here for the third time. it's simply quiet here, completely protected from the wind by the white mountains. the water is slightly refreshing thanks to cold freshwater springs."
93,"What a joy to be here once again (I've been coming every year since 1999...).||This family hotel is a treasure. The welcome is friendly, simple, discreet, full of trust. The food is excellent and the products (vegetables; meat, fish, fruit, …",5,48," the family hotel is a treasure. the food is excellent and the products (vegetables, meat, fish, fruit,.........."
94,"It must be said, the place is exceptional, timeless, the surrounding landscape very beautiful!||But in terms of authenticity, it leaves something to be desired! Fortunately, the lapping waves of the creek are there to help you forget the …",3,60," the place is exceptional, timeless, the surrounding landscape very beautiful!|||But in terms of authenticity, it leaves something to be desired! Fortunately, the lapping waves of the creek are there to help you forget the..."
