,text,stars,months_ago,summary
18,"This is the best vacation i have had, the hotel is on an amazing beach and the restaurant has the best food! We had the fresh fish the owners caught on a daily basis and ate other home made food that was cooked! The place is so relaxing and …",5,48,"The hotel is on an amazing beach and the restaurant has the best food!
We had the fresh fish the owners caught on a daily basis and ate other home made food that was cooked!"
19,I really don't understand how so many people liked the food and the service. In our case we had a waiter constantly coming to our chair to demand 5 euro for the beach seat. …,1,24,"A waiter constantly came to our chair to demand 5 euro for the beach seat.
I really don't understand how so many people liked the food and the service."
20,"I stayed here with some friends for 6 weeks in 1981. It is a fantastic place to stay for as long as you want. I have been back quite a few times since, the family that run it are very friendly, more like family to me. It is nice to meet the …",5,108,"I stayed here with some friends for 6 weeks in 1981. It is a fantastic place to stay for as long as you want.
The family that run it are very friendly, more like family to me. It's nice to meet the …"
21,"You'll pass this place on your hike along this stunning coast. The taverna looks inviting and as modern as Tesla, well at least in these parts. I sat at 1205pm and was told the kitchen doesn't open for 25 minutes...have some stuffed …",3,12,"The taverna looks inviting and as modern as Tesla, well at least in these parts.
You'll pass this place on your hike along this stunning coast."
22,Beautiful location but if you want a wonderful quiet romantic time don't come when there's a Yoga group here for a week and using amplified vocals on the harbour during the day...Food and Drink fine but noise levels not what the publicity suggests!,3,12,"Beautiful location but if you want a wonderful quiet romantic time don't come when there's a Yoga group here for a week and using amplified vocals.
Food and Drink fine but noise levels not what the publicity suggests!"
23,The strong point of this hotel is its unique location and wonderful views.    The owners are friendly but my bathroom smelled of drains and there was poor grouting with dark brown stains.     The bedrooms were only serviced once every three …,3,96,"The strong point of this hotel is its unique location and wonderful views.
My bathroom smelled of drains and there was poor grouting with dark brown stains."
24,"Nice and calm place, less traffic than in Loutro. We had a very nice lunch with a Cretan salad and Mousaka. Will surely com back.",5,12,"Nice and calm place, less traffic than in Loutro.
We had a very nice lunch with a Cretan salad and Mousaka. Will surely com back."
25,"We love The Old Phoenix - this is the fourth time we’ve visited in the last ten years or so. It’s secluded and quiet, and the swimming in the bay is sublime. If you’re expecting five-star luxury, go somewhere else; this is a traditional …",5,5,"The Old Phoenix is secluded and quiet, and the swimming in the bay is sublime.
If you’re expecting five-star luxury, go somewhere else; this is a traditional …"
26,"Second time here and will be back again. Sparkling clean, excellent Taverna, perfect private beach and friendly stuff. Most beautiful bay in Crete. We love it. Family owned and you can feel it! Thank you and see you next year.",5,48,"Second time here and will be back again.
Sparkling clean, excellent Taverna, perfect private beach and friendly stuff.
Most beautiful bay in Crete. We love it! Thank you and see you next year."
27,"Beautufil place, very nice people and a great kitchen. A place hidden from everything",5,6,"Beautufil place, very nice people and a great kitchen.
A place hidden from everything."
28,"Thought I'd died and gone to heaven! Loved it. Very simple. But that's the attraction. No shops nearby, just sea, mountains, goats and a big sky.......en suite very basic, but adequate. Food fresh and utterly delicious.",5,48,"No shops nearby, just sea, mountains, goats and a big sky.......en suite very basic, but adequate.
Food fresh and utterly delicious."
29,"Secret hotel with its secret beach. Food is delicious (fish from the day mostly). Do not hesitate. You can acces it by boat letting your car on the other side, or by car but the mountain road is a bit difficult, still doable. …",5,84,"Secret hotel with its secret beach.
Food is delicious (fish from the day mostly). Do not hesitate.
You can acces it by boat letting your car on the other side, or by car."
30,"We stayed here for a day. Cosy place, with really nice view. The food is pretty good. The road to this place is an great adventure.( Little dangerous) 4*4 WD is adviced. …",5,84,The road to this place is an great adventure.(Little dangerous) 4*4 WD is adviced. … …
31,When we set off from Loutro we didn't know that the village of Phoenix and Finikas bay were around the headland. After a good walk on a hot day we stopped for a drink and a chat with the waiter who gave us an alternative route back to …,4,36,"The village of Phoenix and Finikas bay are around the headland.
After a good walk on a hot day we stopped for a drink and a chat with the waiter.
The waiter gave us an alternative route back to …"
32,...nice place...nice cooking...nice cleaning...nice people...fast service...Amazing...!,5,5,......nice place...nice cooking...nice cleaning...nice people...fast service...Amazing...!
33,I want to say thank you very much for all the people right good thinks for this place!!,5,6,I want to say thank you very much for all the people right good thinks for this place!!
34,"Beautiful family run hotel, was highly recommended by a friend so we booked here for a few nights and absolutely loved it. Lovely staff and great food in the restaurant too ☺️",5,12,"Beautiful family run hotel, was highly recommended by a friend so we booked here for a few nights and absolutely loved it.
 Lovely staff and great food in the restaurant too ☺️"
35,"cosy off-site hotel. 15 min walk to next village, best reached by boat or by foot when walking the south coast of Crete.
fresh, delicious food with a lot of local ingredients. really friendly an relaxed staff.",5,108,"cosy off-site hotel.15 min walk to next village.
Best reached by boat or by foot when walking south coast Crete."
36,We shared 3 dishes and thought they were all delicious. Perfect beachy lunch,5,12,"We shared 3 dishes and thought they were all delicious.
Perfect beachy lunch."
37,Silent places with a amazing view and the road until here is breathtaking. Only a few parking lots available Only for guests.,5,12,"Silent places with a amazing view and the road until here is breathtaking.
Only a few parking lots available Only for guests."
38,"We stayed there for 5 days, excellent friendly service all day long, from breakfast  to dinner, super view over the beach and nice rooms … we will come again 😀 …",5,24,"We stayed there for 5 days, excellent friendly service all day long, from breakfast to dinner.
Super view over the beach and nice rooms … we will come again."
39,One of the most beautiful place in Crete! Beautiful place with an amazing beach!! I am amazed by the food! Fresh an tastefull! 100% The 1st place you should visit in Crete!,5,48,"One of the most beautiful places in Crete! Beautiful place with an amazing beach!! I am amazed by the food! Fresh an tastefull! 100%!
100% The 1st place you should visit - Crete."
40,Amazing place.Quite and confortable rooms with a beautifull veiw on the sea.Very good food! The waiters are frendly and nice.Lovely and friendly family.,5,72,"Amazing place. Quite and confortable rooms with a beautifull veiw on the sea.Very good food!
The waiters are frendly and nice.Lovely and friendly family."
41,"By far the worst service anywhere on Crete and Greece. They were rude and lazy... it’s such a shame that a place like this reflects badly on Greek hospitality, unfortunately the staff definitely weren’t Greek...",1,48,"By far the worst service anywhere on Crete and Greece.
They were rude and lazy... it’s such a shame that a place like this reflects badly on Greek hospitality, unfortunately the staff definitely weren’t Greek..."
42,Great and friendly staff. Limited choice in restaurant. Fantastic view at the seaside.,3,24,"Great and friendly staff. Limited choice in restaurant.
Fantastic view at the seaside."
43,This is a beautiful spot. The E4 passes through the Taverna.,4,11,"The E4 passes through the Taverna.
This is a beautiful spot."
44,Very good accommodation and food in a beautiful area. Great walking.,5,24,"Very good accommodation and food in a beautiful area.
Great walking."
45,"Good hotel, beautiful views of Loutro bay from the terrace and bedrooms, food good.",4,24,"Good hotel, beautiful views of Loutro bay from the terrace and bedrooms, food good."
46,Amazing retreat with great swimming and spectacular views. Good place to get away from it all.,5,72,"Amazing retreat with great swimming and spectacular views.
Good place to get away from it all."
47,The beer was ice cold,5,5,"The beer was ice cold and the beer was cold.
The beer is ice cold."
48,The most peaceful place in Crete and the best choice to eat fresh fish...,5,60,The most peaceful place in Crete and the best choice to eat fresh fish.
49,Perfect goat meat. Do not order fish or other see products.,5,72,"Perfect goat meat. Do not order fish or other see products.
Don't order fish.
Watch the video to learn more about goat meat."
50,One of the cutest hotels ive ever been to + amazing food!!,5,84,One of the cutest hotels ive ever been to + amazing food!!
51,מקום נפלא מבחינת הנוף. המגורים והאוכל בינוני,4,60,"מקום נפלא מבחינת.
 המגורים והאוכל בינוני.
"
52,"Basic, but clean and comfortable with good food and a lovely setting",4,84,"Basic, but clean and comfortable with good food and a lovely setting."
53,Just need a bit more wifi signal so you could work at night from your room...,4,60,Just need a bit more wifi signal so you could work at night from your room...
54,Stopped off for a white wine and very nice welcoming people in the place,4,60,Stopped off for a white wine and very nice welcoming people in the place.
55,Nice place for a breakfast or a dinner with a short walk from loutro.,3,96,"Nice place for a breakfast or dinner with a short walk from loutro.
Nice place to get breakfast or a dinner."
56,"Beautiful spot, very good moussaka",5,36,"Beautiful spot, very good moussaka spot."
57,simple rooms but the place is little paradise,4,72,simple rooms but the place is little paradise
58,Please don't go there so you spoil it for everyone one else.,5,36,Please don't go there so you spoil it for everyone one else.
59,מקום מדהים! מומלץ בחוץ,5,96,"Hebrews: מומלץ בחוץ.
Hebrew: יsם מדהים!"
60,Very good fish,4,12,"Very good fish is very good fish.
Fish is a good fish that is very difficult to catch."
61,"Quiet accommodation,  peaceful.",5,24,"Quiet accommodation,  peaceful peaceful."
62,Great place for a relaxing drink & food,4,60,Great place for a relaxing drink & food.
63,Lovely cove and friendly place,4,24,"Lovely cove and friendly place place with friendly atmosphere.
Friendly place with lots of history and friendly people."
64,Excellent!!,5,12,Excellent!!
65,Outstanding service,5,24,"Outstanding service from our team.
Outstanding customer service."
66,Unpolite staff.,1,60,"Unpolite staff are known to be very friendly.
Unpol has a reputation for being unruly and aggressive."
67,"A little paradise. Beautiful place, spotless tavern, delicious and fresh food. Perfect and fast service from everyone..........Hospitable and loving family business.......We highly recommend you to visit.....",5,5,Hospitable and loving family business.......We highly recommend you to visit.....
68,"Magnificent setting and location, the rooms are pleasant apart from the bathrooms which are basic (shower & shower curtain).
No room service (emptying trash, cleaning, etc.) during the stay, cold welcome, …",3,6,"Magnificent setting and location, the rooms are pleasant apart from the bathrooms which are basic (shower & shower curtain)
No room service during the stay, cold welcome, …"
69,"Previously only by boat and no internet available, according to the old travel guides. As times change, an oasis of calm is overtaken by modern times. Either over the mountain (1/2 hour) or around the mountain in 1 hour from Loutro.",5,5,"Previously only by boat and no internet available, according to the old travel guides.
As times change, an oasis of calm is overtaken by modern times.
Over the mountain or around the mountain in 1 hour from Loutro."
70,"Perfect cuisine, very good quality.
Of particular note:
The always friendly head waiter Bio gives competent advice and anticipates every wish.",5,5,"Perfect cuisine, very good quality.
Of particular note: The always friendly head waiter Bio gives competent advice and anticipates every wish."
71,"A holiday paradise that is second to none! We have been regular guests for many years and each time it becomes more difficult to leave. Enjoying the excellent, freshly prepared food on this beautiful terrace is unique. The menu is varied, …",5,8,"Enjoying the excellent, freshly prepared food on this beautiful terrace is unique.
The menu is varied, …"
72,Old Fönix Hotel. A really wonderful beautiful place to relax. There is a restaurant and bar in the hotel where you will be served excellent traditional and regional food and drinks. There is a pleasant beach right next to the hotel with …,5,7,"Old Fönix Hotel is a really wonderful beautiful place to relax.
There is a restaurant and bar in the hotel where you will be served excellent traditional and regional food and drinks.
A pleasant beach right next to the hotel with …"
73,"You have to understand the place, isolated in a magnificent little cove that is difficult to access by car. You have to understand the Cretans, they are at home, welcoming and with family, they bring this place to life by making it more …",5,12,"The Cretans are at home, welcoming and with family, they bring this place to life by making it more …"
74,The location of the tavern is a dream. A beautiful walk leads from Loutro to this beautifully located bay in half an hour. …,3,9,"The location of the tavern is a dream.
A beautiful walk leads from Loutro to this beautifully located bay."
75,"You are looking for peace and quiet, this place is made for you A heavenly place surrounded by mountains with a small beach lined with tamarisk trees. Easily accessible, the water is crystal clear. In terms of accommodation, nothing to say, …",5,9,"A heavenly place surrounded by mountains with a small beach lined with tamarisk trees.
Easily accessible, the water is crystal clear. In terms of accommodation, nothing to say, … …"
76,"It's a lovely place! There aren't many words to define it, but it is definitely a stop that shouldn't be missed on your trip to Crete. Really great food, especially the fish. Excellent value for money (in Italy we dream of prices like this in places like this!",5,12,"Crete is a lovely place, but it is definitely a stop that shouldn't be missed on your trip to Crete.
Excellent value for money, especially the fish!"
77,"The Old Phoenix is ​​a great place. Beautiful views, absolute tranquility and very tasty fresh Greek cuisine. The service is very friendly and helpful. I have now eaten almost the entire menu and I cannot say that I was disappointed once. …",5,12,"The Old Phoenix is ​​a great place. Beautiful views, absolute tranquility and very tasty fresh Greek cuisine.
I have now eaten almost the entire menu and I cannot say that I was disappointed once. …"
78,Small cove between Loutro and Marmara beach. Possibility to rent sunbeds and umbrellas. There is a tavern where you can eat traditional Greek dishes. In addition to the tavern there is also a small hotel.,4,12,"Small cove between Loutro and Marmara beach has potential to rent sunbeds and umbrellas.
There is a tavern where you can eat traditional Greek dishes.
In addition to the tavern there is also a small hotel."
79,"For those seeking peace, calm and serenity, it is an ideal setting with a team that does everything to make your life pleasant. We rented the independent studio, which was perfectly equipped and located a little further away. the charming …",5,8,"For those seeking peace, calm and serenity, it is an ideal setting with a team that does everything to make your life pleasant.
We rented the independent studio, which was perfectly equipped and located a little further away."
80,"Time stops. Good tavern, the prices in loutro are a little higher than those in Crete. It remains a little corner of paradise 🤩 small confidential beach is cool 😎 a beautiful place. No one came for the deckchairs. It must be nice to stay the night …",5,12,"Crete remains a little corner of paradise.
Good tavern, the prices in loutro are a little higher than those in Crete."
81,"For the restaurant, warm welcome and great service with a breathtaking view, very quiet location.
In short, a little corner of paradise",5,6,"For the restaurant, warm welcome and great service with a breathtaking view, very quiet location."
82,"Small pebble beach with crystal clear waters and turquoise backgrounds, uncrowded. We recommend access by boat because access by car is very complicated (winding road in the mountains and stony tracks). The restaurant: Very friendly welcome, excellent service, very good fresh fish. With breathtaking sea views.",5,24,"Small pebble beach with crystal clear waters and turquoise backgrounds, uncrowded.
We recommend access by boat because access by car is very complicated.
Restaurant: Very friendly welcome, excellent service, very good fresh fish."
83,"The Old Phoenix is ​​a ""hotel"" in a cove/marina behind Loutro: from Loutro you can get there by boat organized by the tree itself, on foot along a 25 minute path, very pleasant if you don't have luggage, or through a very steep dirt road, …",4,72,"The Old Phoenix is ​​a ""hotel"" in a cove/marina behind Loutro.
You can get there by boat organized by the tree itself, on foot along a 25 minute path, very pleasant if you don't have luggage, or through a very steep dirt road, …"
84,We stayed in this small bay after walking the trail starting from Loutro. The walk is worth it for the landscape and is not demanding if you don't do it during the hottest hours (it's all in the sun). The beach is small but equipped and the …,5,72,The beach is small but equipped and the … … …
85,"The place has charm, it is unique. Very difficult to reach, we went there by car but the road is challenging (we recommend a 4x4 for safer travel). The beach isn't that great (the water was full of oil). The restaurant is decent, prices are …",4,120,"The beach isn't that great (the water was full of oil). The restaurant is decent, prices are …"
86,"Excellent location, the place is paradise, for those who want to be quiet and enjoy the sea, the food, the fresh fish and the company of the locals. Simple, beautiful rooms on the sea! You sleep, eat, swim, all in just a few steps. The …",5,7,"Simple, beautiful rooms on the sea! You sleep, eat, swim, all in just a few steps.
The …"
87,"Meal quickly dispatched by ""kindly"" imposing a Greek salad and tzaziki for two. Mini salad, the least garnished we had. Not possible to have dessert, a group from a tour operator chasing us away. The small beach then becomes much less …",1,12,"Meal quickly dispatched by ""kindly"" imposing a Greek salad and tzaziki for two.
Mini salad, the least garnished we had. Not possible to have dessert.
The small beach then becomes much less …"
88,"Very nice small family business with simple rooms (all balconies with sea views). The restaurant serves fresh, homemade food every day. Fantastic is the charming and humorous head waiter Bio, who looks after his guests with great attention. …",5,12,"The restaurant serves fresh, homemade food every day.
Head waiter Bio looks after his guests with great attention."
89,"Beautiful, small hotel right by the sea, adapted to the landscape. Extremely quiet location, only accessible by houseboat. All rooms with sea view and terrace. Great Sfakiotic cuisine and great service. The sea here is still crystal clear, …",5,60,"Beautiful, small hotel right by the sea, adapted to the landscape.
Extremely quiet location, only accessible by houseboat. All rooms with sea view and terrace. Great Sfakiotic cuisine and great service."
90,"Hotel ideally located by the sea in a quiet area. Beautiful sea view from the rooms.|Basic comfort, clean. |Very good restaurant, especially for fish. |15 minutes from Loutro via a small path, 45 minutes from Mamara. |Only downside, for the …",4,60,"Hotel ideally located by the sea in a quiet area. Beautiful sea view from the rooms.
Basic comfort, clean, very good restaurant, especially for fish."
91,"The poor rating does not concern the food, which is still good, but the cold and unfriendly service. Only a small portion of the menu dishes they brought to us seemed available. We wanted to finish the meal with coffee but the waiter told …",2,60,"The poor rating does not concern the food, which is still good, but the cold and unfriendly service.
Only a small portion of the menu dishes they brought to us seemed available."
92,"We have been here for the third time. It's simply quiet here, completely protected from the wind by the white mountains, guaranteed no rain and relaxing. The water is slightly refreshing thanks to cold freshwater springs but very pleasant …",5,120,"The water is slightly refreshing thanks to cold freshwater springs but very pleasant.
It's simply quiet here, completely protected from the wind by the white mountains, guaranteed no rain."
93,"What a joy to be here once again (I've been coming every year since 1999...).||This family hotel is a treasure. The welcome is friendly, simple, discreet, full of trust. The food is excellent and the products (vegetables; meat, fish, fruit, …",5,48,"This family hotel is a treasure. The welcome is friendly, simple, discreet, full of trust. The food is excellent and the products (vegetables; meat, fish, fruit, … …) …"
94,"It must be said, the place is exceptional, timeless, the surrounding landscape very beautiful!||But in terms of authenticity, it leaves something to be desired! Fortunately, the lapping waves of the creek are there to help you forget the …",3,60,The lapping waves of the creek are there to help you forget the …
95,"attention: the guesthouse can be reached on foot or by taxi boat. However, don't think you are in a quiet place. Microscopic and crowded pebble beach, if you use the pension's deckchairs and umbrellas you pay. For the restaurant and for …",1,96,"Microscopic and crowded pebble beach, if you use the pension's deckchairs and umbrellas you pay.
For the restaurant and for …"
96,"After just a 15-minute walk you can escape the hustle and bustle of Loutro and find a tranquil restaurant with a relaxing, quiet atmosphere. The menu is clear, but completely sufficient for all tastes. The quality was good and the service was very accommodating. A perfect place to relax.",4,48,"After just a 15-minute walk you can escape the hustle and bustle of Loutro.
The quality was good and the service was very accommodating."
97,"Warm welcome and magnificent setting.
Discovered by a GPS error.
Complete and appetizing breakfast. …",5,24,"Warm welcome and magnificent setting.
Discovered by a GPS error."
98,"So far everyone in every restaurant in Greece has been very hospitable, cheerful and generous. In this restaurant they seem stressed and rushed, when it is already a bit full you notice the stress. The staff gives the impression that they …",2,36,"So far everyone in every restaurant in Greece has been very hospitable, cheerful and generous.
In this restaurant they seem stressed and rushed, when it is already a bit full you notice the stress. The staff gives the impression that they …"
99,"Reached by boat or a 7-minute walk along a goat path from the lively port of Loutro, the small bay with the only hotel/restaurant feels like an enchanted place. A place of peace, relaxation, good food and friendly gastronomy. And a good starting point for hikes, especially to the nearby Aradena Gorge.",4,96,"The small bay with the only hotel/restaurant feels like an enchanted place.
It's a place of peace, relaxation, good food and friendly gastronomy.
A good starting point for hikes, especially to the nearby Aradena Gorge."
100,"Remote but accessible, family-friendly and warm, you eat very good traditional Greek cuisine at an affordable price. Close to marmara and loutro without having the disadvantages. We come back regularly as a family. The rooms are simple but all have air conditioning, fan, hairdryer and terrace overlooking the sea...",5,72,"The rooms are simple but all have air conditioning, fan, hairdryer and terrace overlooking sea.
Close to marmara and loutro without having the disadvantages.
We come back regularly as a family."
101,"at first I thought I would feel like a prisoner of this place which is a bit difficult to reach and leave, but I soon realized that it is the starting point to go to Marmara, Sweet waters and of course Loutro. The quality of the food is …",4,120,The quality of the food is …
102,"Secluded, pleasant, only accessible on foot or by boat - great. The food is good, after a while there's a bit of a lack of variety (but that's generally the case in Crete; fish, feta and tomatoes then become a bit bland) but a great tip for …",4,48,"Secluded, pleasant, only accessible on foot or by boat - great.
The food is good, after a while there's a bit of a lack of variety.
But a great tip for …"
103,"Thank you for the always very pleasant welcome and service at the Old Phoenix!|Very good grilled sardines. We also come back for the dakos, and always a free raki at the end of the meal - have a good visit and hope you like this place, the beach is also nice",5,12,"Good grilled sardines, good dakos and free raki at the end of the meal.
Have a good visit and hope you like this place."
104,"Those who like peace and quiet will certainly appreciate this place. You can reach the hotel by taking the boat from Loutro. The rooms are simple, but the view from your balcony is priceless. Loutro can be reached on foot within 30 minutes …",4,132,"Loutro can be reached on foot within 30 minutes.
The rooms are simple, but the view from your balcony is priceless."
105,Fantastic! Food comes straight from the sea for you. To get there by car it is better to rent a 4X4 :-) By car it is doable if you are not afraid of heights and can drive well and quietly. By boat or on foot it is a lot easier and is a …,5,96,"By car it is doable if you are not afraid of heights and can drive well and quietly.
By boat or on foot it is a …"
106,"Quiet place, ideal for a relaxing holiday. The road to get there is a bit long, unpaved and bumpy. Friendly and helpful owners, slightly rustic waiters (all male). Clean rooms. A somewhat Spartan place, not as refined as it seems from the outside. ""Seaside refuge"" environment. Advised",4,96,"Quiet place, ideal for a relaxing holiday.
Road to get there is a bit long, unpaved and bumpy.
Friendly and helpful owners, slightly rustic waiters."
107,"either by boat or with an off-road vehicle but then an enchanting place. I just ate with a breathtaking view of a cobalt blue sea. Mediterranean atmosphere like you don't meet anymore, simple people like those of the past. good food and unique mountain honey.",4,120,"Mediterranean atmosphere like you don't meet anymore, simple people like those of the past.
Good food and unique mountain honey."
108,"Loutro is a little gem in southwest Crete. Because you can only reach the town by car by ferry, Loutro is practically car-free. The place, decorated entirely in white and blue, is located in a sheltered bay with crystal clear water.||The …",4,72,"Because you can only reach the town by car by ferry, Loutro is practically car-free.
The place, decorated entirely in white and blue, is located in a sheltered bay with crystal clear water."
109,"Close to the Aradena and Loutro gorges and on the water's edge, this place is ideal for those who want to stop time. The welcome is very friendly, the staff ready to find solutions for our comfort. The rooms are simple. I recommend the walk from there to Hora Sfakion, on the mountainside, then return by ferry to Loutro.",5,72,"Close to the Aradena and Loutro gorges and on the water's edge, this place is ideal for those who want to stop time.
The welcome is very friendly, the staff ready to find solutions for our comfort.
The rooms are simple. I recommend the walk from there to Hora Sfakion, on the mountainside."
110,A very nice place to relax. The rooms are old but the view and proximity to the clear sea are beautiful. The food in the evening is also great. The breakfast didn't convince us.,4,48,"The rooms are old but the view and proximity to the clear sea are beautiful.
The food in the evening is also great. The breakfast didn't convince us."
111,"07.10.2019. I didn't eat there or stay there. I only passed through it while hiking but I actually found that it is an excellent landmark, very precisely located by Google, for hiking either towards Marmara beach to the west or towards the …",5,48,"Google Maps found Marmara beach to the west or towards the ….
I didn't eat there or stay there."
112,"Nicely located restaurant, unfortunately the service is not the best. The waiter extremely
musty and not exactly friendly. 👎 …",4,24,"Nicely located restaurant, unfortunately the service is not the best.
The waiter extremely ‘musty and not exactly friendly’"
113,"The Old Phoenix manages to reach 3 balls only thanks to the location and the tranquility emanating from the rooms with a suggestive sea view, certainly not thanks to the terrible cuisine and the desire of the staff to make you feel …",3,96,The Old Phoenix manages to reach 3 balls only thanks to the location and the tranquility emanating from the rooms with a suggestive sea view.
114,Old Phoenix is ​​definitely recommended the hotel and the view are fantastic and the service 5/5 the waiter is very funny and nice Bio I have been there many times now and I love it,5,10,"Old Phoenix is ​​definitely recommended the hotel and the view are fantastic.
The service 5/5 the waiter is very funny and nice Bio I have been there many times now and I love it."
115,You have to be motivated to get there because there is no road but a steep and winding track... The game is worth the effort,5,10,"You have to be motivated to get there because there is no road but a steep and winding track...
The game is worth the effort..."
116,"Scammers / Liars / Απατεώνες - Αvoid this place, its dirty, no charm and waiters stare at you like rapists. To be avoided at all costs: dirty, waiters who complain and the boss who cheats on room prices at the start. Να το αποφύγετε. …",1,72,"To be avoided at all costs: dirty, waiters who complain and the boss who cheats on room prices at the start.
Scammers / Liars /.
Its dirty, no charm and waiters stare at you like rapists."
117,"We arrived at 7 p.m. without reservation, the boss gave us a room and served us a very good meal, very welcoming and respectful staff. The next day we went to Loutro on foot, a very good path connecting the hotel and Loutro. We will stay again if we come to the area",5,48,"We arrived at 7 p.m. without reservation, the boss gave us a room.
The next day we went to Loutro on foot, a very good path connecting the hotel and the hotel.
We will stay again if we come to the area."
