Review,distilbart (arielle) summary,t5 (dana) summary,TF-IDF (),small - BART (dana),T5 (gal),T5 base (dina),BERT(Yahel),facebook/bart-large-cnn (Chen)
Excellent stay! Fantastic view from the veranda in the nice house. We got an upgrade to a bigger flat. Also we was able to check in 3 hours before expected. The owner was very helpful and service oriented. Kitchen was well equipped and it was only 50 meters to the local store.,Fantastic view from the veranda in the nice house . Kitchen was well equipped and it was only 50 meters to the local store . Kitchen,the owner was very helpful and service oriented. the kitchen was well equipped and it was only 50 meters to the local store.,,"Excellent stay! Fantastic view from the veranda in the nice house.
 Also we got an upgrade to a bigger flat. Also we was able to check in 3 hours before expected.
 Kitchen was well equipped and it was only 50 meters to the local store.",Fantastic view from the veranda in the nice house . The owner was very helpful and service oriented.,fantastic view from the veranda in the nice house. the owner was very helpful and friendly. we had a great stay in the house. it is a 50 meters from the local store. we would definitely stay again.,,The owner was very helpful and service oriented. Kitchen was well equipped and it was only 50 meters to the local store. Fantastic view from the veranda in the nice house.
"Owner was available and accommodating during enquiries, booking and arrival by email, phone and WhatsApp
 Spacious, simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view and a small washing line. There are beach shoes for guests to borrow - very useful!! The house is at the top of Loutro and our room was on the top floor - altogether quite a climb but good exercise considering all the Greek Taverna food! Loutro is tiny so nothing is more than 5 minutes walk away.
 The couple who run the place are not always easily accessible but they are both lovely, super helpful, went out of their way to make us comfortable, Andreas did way beyond the necessary or expected.","Spacious, simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view . Owner was available and accommodating during enquiries, booking and arrival by email, phone and WhatsApp .","owner was available and accommodating during enquiries, booking and arrival by email, phone and WhatsApp. a simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view and a small washing line. the house is at the top of Loutro so nothing is more than 5 minutes walk away. the couple who run the place are not always easily accessible but they are both lovely, super helpful, went out of their way to make us comfortable",,"Owner was available and accommodating during enquiries, booking and arrival by email, phone and WhatsApp.
 Spacious, simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view and a small washing line.
 There are beach shoes for guests to borrow - very useful!!","Owner was available and accommodating during enquiries, booking and arrival by email, phone and WhatsApp Spacious, simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view and a small washing line .","loutro is a 5 minute walk away from the sea, it was a great place to stay. andreas and his husband are very nice and friendly. i would recommend this place.",,"Spacious, simple air-conditioned room with equipped kitchenette, small bathroom, balcony with partial sea view and a small washing line. Owner was available and accommodating during enquiries, booking and arrival."
"Just steps from the beach Villa Niki was spacious and clean, nice balcony overlooking Loutro. Bed was comfortable and air conditioning was a god send as it was hot. Make sure you say hello to Andreas who was very helpful, Every morning he â€¦","Villa Niki was spacious and clean, nice balcony overlooking Loutro . Bed was comfortable and air conditioning was a god send",Andreas was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful. he was very helpful and helpful.,,"Just steps from the beach Villa Niki was spacious and clean.
 Bed was comfortable and air conditioning was a god send as it was hot.
 Make sure you say hello to Andreas who was very helpful.","Andreas was very helpful, Every morning he ...","villa niki was spacious and clean, air conditioning was a god send as it was hot. thanks to andreas and andreas Ã¢â‚¬Â¦ he is a wonderful host.",,"Just steps from the beach Villa Niki was spacious and clean, nice balcony overlooking Loutro. Bed was comfortable and air conditioning was a god send"
Andreas and his wife are amazing warm and friendly people. The location is very quit and not too hot during sunny times. Itâ€™s just a 1min walk from the beach and very peaceful.|The rooms are marge and well equipped with a nice bed and spacy bathroom.|I will definitely go back there!,Andreas and his wife are amazing warm and friendly people . The location is very quit and not too hot during sunny times . Itâ€™s just a 1,the location is very quit and not too hot during sunny times. the rooms are marge and well equipped with a nice bed and spacy bathroom.|I will definitely go back there!,,"Andreas and his wife are amazing warm and friendly people.
 The location is very quit and not too hot during sunny times.
 I will definitely go back there!",Andreas and his wife are amazing warm and friendly people . The location is very quit and not too hot during sunny times .,andreas and his wife are amazing hosts. the place is very nice and peaceful. itÃ¢â‚¬tms just a 1min walk from the beach and i will definitely go back.,,Andreas and his wife are amazing warm and friendly people. The location is very quit and not too hot during sunny times. It‚Äôs just a 1min walk from
"It couldn't be more welcoming in a guest house at the south coast of Crete. The room is spacious and the beds very clean. I loved the light white cotton curtains for a special, traditional flair. The bath room has a standard size and â€¦",It couldn't be more welcoming in a guest house at the south coast of Crete . The room is spacious and the beds,the room is spacious and the beds very clean. the bath room has a standard size and Ã¢â‚¬,,"The room is spacious and the beds very clean.
 I loved the light white cotton curtains for a special, traditional flair.
 The bath room has a standard size and Ã¢â‚¬Â¦Â¦","The room is spacious and the beds very clean . I loved the light white cotton curtains for a special, traditional flair .",it couldnâ€™t be more welcoming in a guest house at the south coast of crete. the room is spacious and the beds very clean. i loved the light white cotton curtains for a special flair.,,"The room is spacious and the beds very clean. I loved the light white cotton curtains for a special, traditional flair. The bath room has a standard"
"This is a very clean and friendly ""Rooms to let"". It is renovated offering spacious and beutiful rooms. Nice for families. The view is ok, but there are some disturbing items on nearby terraces. It is very close to the beach, perhaps 1-2 minutes walking distance. Suggested","This is a very clean and friendly ""Rooms to let"" The view is ok, but there are some disturbing items on nearby terraces .","this is a very clean and friendly ""Rooms to let"" it is renovated offering spacious and beutiful rooms. the view is ok, but there are some disturbing items on nearby terraces.",,"This is a very clean and friendly ""Rooms to let"". It is renovated offering spacious and beutiful rooms. Nice for families.
 The view is ok, but there are some disturbing items on nearby terraces.","This is a very clean and friendly ""Rooms to let"" It is renovated offering spacious and beutiful rooms . Nice for families .","it is renovated offering spacious and beutiful rooms. nice for families, but there are some disturbing items on nearby terraces. suggested to stay here.",,"This is a very clean and friendly ""Rooms to let"" It is renovated offering spacious and beutiful rooms. The view is ok, but there are"
"Great, family run hotel full of character, a little more set back on the hillside in Loutro. Very short walk to harbour/ waterfront set among lovely plants & flowers around. Spotlessly clean, huge rooms with kitchenette & great balcony â€¦","Great, family run hotel full of character set back on hillside in Loutro . Spotlessly clean, huge rooms with",a little more set back on the hillside in Loutro. a little more set back on the hillside. a little more set back on the hillside. a little more set back on the hillside. a little more set back on the hillside. a little more set back on the hillside. a little more set back on the hillside in Loutro. a little more set,,"Great, family run hotel full of character, a little more set back on the hillside in Loutro.
 Spotlessly clean, huge rooms with kitchenette & great balcony Ã¢â‚¬Â¦","Great, family run hotel in Loutro . Very close to harbour/ waterfront set among lovely plants & flowers around.","loutro is a great family run hotel, a little more set back on the hillside in loffro. it was a nice place to stay at this hotel as if you need a car.",,"Great, family run hotel full of character, a little more set back on the hillside in Loutro. Very short walk to"
"Like all the other reviews mention, Andreas and his wife are extremely pleasant and accommodating. We enjoyed our night there and wished we had more time. Our place was clean, spacious and bright and we would definitely stay again if we ever make it back to Loutro.",Andreas and his wife are extremely pleasant and accommodating . We enjoyed our night there and wished we had more time . Our place was,Andreas and his wife are extremely pleasant and accommodating. we enjoyed our night there and wished we had more time.,,"Andreas and his wife are extremely pleasant and accommodating.
 We enjoyed our night there and wished we had more time.
 Our place was clean, spacious and bright.",Andreas and his wife are extremely pleasant and accommodating . We enjoyed our night there and wished we had more time .,andreas and his wife are extremely pleasant and accommodating. we would definitely stay again if we ever come back to loutro.,,"We would definitely stay again if we ever make it back to Loutro. Like all the other reviews mention, Andreas and his wife are extremely pleasant and accommodating"
"Excellent! There are two main reasons - I believe there cannot be many more, actually. Firstly, the owners have been very helpful and trouble-less, they have given us a very nice room and coped with all our weird check-in times (due to unforeseeable weather-related circumstances); secondly the room itself was very nice, amazing view and a nice balcony.
 Internet also was working very well; all in all, an amazing place that makes you feel welcome and really ""on holidays"". Very recommended.","The owners have been very helpful and trouble-less, they have given us a very nice room and coped with all our weird check-in times . The room itself was very nice, amazing view and a nice balcony . Internet also was working very well","the owners have been very helpful and trouble-less. the room itself was very nice, amazing view and a nice balcony. the internet was working very well.",,"The owners have been very helpful and trouble-less.
 The room itself was very nice, amazing view and a nice balcony.
 Internet also was working very well.","The owners have been very helpful and trouble-less, they have given us a very nice room and coped with all our weird check-in times . Internet also was working very well; all in all, an amazing place that makes you feel welcome .",i would definitely recommend this place to anyone looking for a nice holiday in the evenings. it is an amazing place where you can feel welcome and really â€œon holydaysâ€.,,"The owners have been very helpful and trouble-less. The room itself was very nice, amazing view and a nice balcony. Internet also was working very well."
"We spent 1 night here: we had a super nice room, spacious, very clean and nicely decorated. Even we didnâ€™t have time to eat in, we noticed that it had all the tools needed in the small kitchen. We also had a nice view from the balcony. The hosts were very friendly and gave us good recommendations for restaurants. Definitely recommend!","We had a super nice room, spacious, very clean and nicely decorated . Even we didnâ€™t have time to eat in, we noticed that it had all the","we spent 1 night here: we had a super nice room, spacious, very clean and nicely decorated. the hosts were very friendly and gave us good recommendations for restaurants.",,"We spent 1 night here: we had a super nice room, spacious, very clean and nicely decorated.
 Even we didn't have time to eat in, we noticed that it had all the tools needed in the small kitchen.
 The hosts were very friendly and gave us good recommendations for restaurants.","We had a super nice room, spacious, very clean and nicely decorated . Even we didn’t have time to eat in, we noticed that it had all the tools needed in the small kitchen .","we spent 1 night here: we had a super nice room, spacious, very clean and really decorated. the hosts were very friendly and gave us good recommendations for restaurants and restaurants. would definitely recommend!",,"The room was spacious, very clean and nicely decorated. The hosts were very friendly and gave us good recommendations for restaurants."
